ID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4	Abundance	Kindom
BACasv112	0	0.002192402	0	0.00147065	0.001747511	0.001536365	0	0	0.0868366	Bac
BACasv113	0	0	0	0	0.000476594	0	0	0	0.005957425	Bac
BACasv114	0	0	0	0	0.002594789	0.001462025	0	0	0.050710175	Bac
BACasv116	0.004285081	0.004195804	0.004560483	0.005252322	0.002965473	0.001486805	0.014570053	0.010146431	0.59328065	Bac
BACasv117	0	0	0	0	0	0	0.007740341	0	0.096754263	Bac
BACasv118	0.000935822	0.001096201	0	0	0.003547977	0.001908066	0	0	0.093600825	Bac
BACasv119	0.014923903	0.024116424	0.015619656	0.01382411	0	0	0	0.001729505	0.877669975	Bac
BACasv120	0	0	0	0	0.005877992	0.003047949	0	0	0.111574263	Bac
BACasv121	0	0	0	0	0	0.000892083	0.004423052	0.006860371	0.152193825	Bac
BACasv122	0	0	0	0.000210093	0	0	0.005073501	0.008993428	0.178462775	Bac
BACasv123	0	0.0002268	0	0	0.002647744	0.005278156	0	0	0.10190875	Bac
BACasv124	0	0	0	0	0.001376827	0.000669062	0	0	0.025573613	Bac
BACasv125	0.015761218	0.011566812	0.018013909	0.014832556	0	0	0.006374398	0.00968523	0.952926538	Bac
BACasv126	0	0	0.001767187	0.001302576	0	0.001833726	0.003252244	0.001844806	0.125006738	Bac
BACasv127	0	0	0	0	0	0	0.002992065	0.003747262	0.084241588	Bac
BACasv128	0	0	0	0	0.003653887	0.000495602	0.00266684	0.001210654	0.100337288	Bac
BACasv129	0	0	0	0	0.001588646	0.002007186	0	0	0.0449479	Bac
BACasv130	0	0.001134001	0	0	0	0	0.003252244	0.005880318	0.128332038	Bac
BACasv131	0.001674629	0.001814402	0.002280242	0.002269003	0.000317729	0.000173461	0	0.000461201	0.112383338	Bac
BACasv132	0.000640299	0.0004158	0.000969103	0.001260557	0	0	0	0	0.041071988	Bac
BACasv133	0.012017928	0.008316008	0.006726713	0.008571789	0	0	0	0.000807103	0.455494263	Bac
BACasv134	0	0	0	0	0	0.002948829	0	0	0.036860363	Bac
BACasv135	0	0.001323001	0.001140121	0	0.000582504	0	0.004292962	0.005246166	0.157309425	Bac
BACasv136	0	0.000642601	0	0.000840371	0	0	0.00292702	0.004381414	0.109892575	Bac
BACasv137	0.003447766	0.003477603	0.006498689	0.007563343	0	0	0.004032783	0.002651908	0.34590115	Bac
BACasv138	0.000886568	0	0	0	0	0	0.003187199	0.00317076	0.090556588	Bac
BACasv139	0	0	0	0	0.002594789	0.001139884	0	0	0.046683413	Bac
BACasv140	0	0	0	0	0.001535692	0.001338124	0	0	0.0359227	Bac
BACasv141	0.000935822	0.000982801	0.001254133	0.001386613	0.001112053	0.001982406	0.003057109	0.002421308	0.164153063	Bac
BACasv142	0.000492538	0	0.000798085	0.000378167	0	0	0	0	0.020859875	Bac
BACasv143	0.002610452	0.003402003	0.004275453	0.007017102	0.001694556	0.002849709	0.008846104	0.016315001	0.58762975	Bac
BACasv144	0	0	0	0	0	0	0.004032783	0.002133057	0.077073	Bac
BACasv145	0	0	0	0	0.000582504	0	0	0	0.0072813	Bac
BACasv146	0	0	0	0	0.000582504	0.001139884	0	0	0.02152985	Bac
BACasv147	0.005811949	0.006161406	0.002793296	0.005210303	0	0	0	0	0.249711925	Bac
BACasv148	0	0	0	0	0.001482737	0.002899269	0	0	0.054775075	Bac
BACasv149	0.008126878	0.006955207	0.005016532	0.004748099	0	0	0.001300898	0.007090972	0.415482325	Bac
BACasv150	0.001625376	0	0.000627066	0.004832136	0	0	0	0.002536608	0.120264825	Bac
BACasv151	0	0	0	0	0	0	0.003577468	0.002248357	0.072822813	Bac
BACasv152	0	0	0.001539163	0.001344594	0	0	0	0	0.036046963	Bac
BACasv153	0	0	0	0	0.003865706	0.001065543	0	0	0.061640613	Bac
BACasv154	0	0	0	0	0.001165007	0.001214224	0	0	0.029740388	Bac
BACasv155	0.00103433	0.001323001	0.000912097	0.00058826	0	0	0.002146481	0.003459011	0.11828975	Bac
BACasv156	0	0	0	0	0.000582504	0.000396481	0	0	0.012237313	Bac
BACasv157	0.006747771	0.005518806	0.011515221	0.009748309	0	0.0001239	0.005528815	0.008359276	0.594276225	Bac
BACasv158	0	0.000529201	0	0	0	0	0.00253675	0.003055459	0.076517625	Bac
BACasv159	0.004826873	0.004044604	0	0.001344594	0	0	0.00266684	0.007033322	0.248952913	Bac
BACasv160	0.003398513	0	0.000342036	0	0	0.001808946	0	0	0.069368688	Bac
BACasv161	0	0	0	0	0	0.001090323	0	0	0.013629038	Bac
BACasv162	0.008077624	0.006237006	0.006384677	0.005168284	0	0	0.006894757	0.005765018	0.481592075	Bac
BACasv163	0	0	0	0	0	0	0.003512424	0.002075406	0.069847875	Bac
BACasv164	0.001625376	0.002797203	0.003477369	0.002395059	0	0.000495602	0.00572395	0.004612014	0.264082163	Bac
BACasv165	0.001132838	0.000718201	0	0	0	0	0.002731885	0.003574311	0.101965438	Bac
BACasv166	0.004629858	0.006841807	0.002679284	0.004790117	0	0	0	0	0.236763325	Bac
BACasv167	0.004285081	0.001701002	0.001026109	0.000840371	0.000741368	0.000892083	0.00279693	0.002882509	0.189568163	Bac
BACasv168	0.008520908	0.007673408	0.016816783	0.009076012	0.000582504	0	0.012943931	0.006110919	0.771555813	Bac
BACasv169	0.004038812	0.005972406	0.00820887	0.010252532	0	0	0	0.000288251	0.359510888	Bac
BACasv170	0.002758213	0.004762805	0.006612701	0.004033783	0	0	0.004488097	0.00334371	0.324991363	Bac
BACasv171	0.004580604	0.003893404	0.005073538	0.004453969	0	0	0	0	0.225018938	Bac
BACasv172	0.000738807	0.000907201	0	0	0	0	0.006504488	0.004554364	0.15881075	Bac
BACasv173	0	0	0	0	0.001217962	0.000768182	0.000390269	0	0.029705163	Bac
BACasv174	0	0	0	0.000630279	0	0.000792962	0	0.000749452	0.027158663	Bac
BACasv175	0	0	0	0	0.000529549	0	0.00533368	0.003747262	0.120131138	Bac
BACasv176	0	0	0	0	0.001165007	0.000892083	0	0	0.025713625	Bac
BACasv177	0.005516426	0.006879607	0.005529586	0.005168284	0.000688413	0	0.008650969	0.011530036	0.549541513	Bac
BACasv178	0	0	0	0	0	0.001982406	0	0	0.024780075	Bac
BACasv179	0.009801507	0.008958609	0.009463003	0.01029455	0	0	0.03531937	0.018793958	1.157887463	Bac
BACasv180	0	0	0.001710181	0.002563133	0	0	0.001561077	0.007206272	0.163008288	Bac
BACasv181	0	0.0004536	0.002223236	0.001596706	0	0.000322141	0	0	0.057446038	Bac
BACasv182	0	0	0	0	0.003230248	0.001660265	0	0	0.061131413	Bac
BACasv183	0	0	0.001368145	0.002142947	0.002435925	0.000966423	0.009886822	0.003516661	0.253961538	Bac
BACasv184	0	0.000793801	0.001083115	0.000966427	0	0	0.005138546	0.007263923	0.19057265	Bac
BACasv185	0.001723883	0.001852202	0.002223236	0.002016891	0	0	0.003772603	0.004554364	0.201789738	Bac
BACasv186	0.00039403	0	0	0.00029413	0	0.001139884	0	0.000691802	0.031498075	Bac
BACasv187	0	0	0	0	0.004607075	0.002403667	0	0	0.087634275	Bac
BACasv188	0	0	0	0	0.007307774	0	0.001626122	0	0.1116737	Bac
BACasv189	0	0	0	0	0	0	0.002146481	0.004496714	0.083039938	Bac
BACasv190	0	0	0	0	0	0	0.002081436	0.004496714	0.082226875	Bac
BACasv191	0.002561198	0.001890002	0.00245126	0.001680743	0	0	0.005008456	0.006802721	0.25492975	Bac
BACasv192	0	0	0	0	0.000370684	0.001437244	0	0.000980053	0.034849763	Bac
BACasv194	0	0	0	0	0.001006143	0.000892083	0	0	0.023727825	Bac
BACasv195	0	0	0	0	0.001006143	0.000792962	0	0	0.022488813	Bac
BACasv196	0.001231345	0.000756001	0.000969103	0	0	0	0.003252244	0.001498905	0.096344975	Bac
BACasv197	0.000640299	0.000529201	0	0.000378167	0	0	0.001951346	0.002651908	0.076886513	Bac
BACasv198	0	0	0	0	0	0	0.001040718	0.004381414	0.06777665	Bac
BACasv199	0.001773137	0	0	0.000798353	0	0	0	0	0.032143625	Bac
BACasv200	0	0	0	0	0	0.000272581	0	0	0.003407263	Bac
BACasv201	0.000640299	0	0	0	0.000635459	0.001362904	0.001951346	0	0.0573751	Bac
BACasv202	0.00453135	0.004158004	0.002679284	0.002521114	0	0	0	0	0.1736219	Bac
BACasv203	0.003546274	0.002570403	0.004275453	0.00235304	0	0	0	0.003055459	0.197507863	Bac
BACasv204	0.003053736	0.001965602	0.001653175	0.000840371	0	0	0.003577468	0.001153004	0.15304195	Bac
BACasv206	0.000886568	0	0.001710181	0.001974873	0	0	0	0.001614205	0.077322838	Bac
BACasv207	0	0	0	0	0.000317729	0.001759385	0	0	0.025963925	Bac
BACasv208	0.003595528	0.001134001	0.002622278	0.000630279	0	0	0.004162872	0.005188516	0.216668425	Bac
BACasv209	0.00206866	0.002759403	0.002679284	0.003109374	0	0	0	0.001614205	0.152886575	Bac
BACasv210	0.006944786	0.006312606	0.004218447	0.005630489	0	0	0	0.000807103	0.298917888	Bac
