id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Abundance
ProASV187	0	0	0	0	0	0.007058824	0	0.000588235	0.095588235
ProASV188	0	0	0	0	0	0.001764706	0	0	0.022058824
ProASV190	0	0	0	0	0	0.000588235	0	0.001764706	0.029411765
ProASV191	0	0	0.000588235	0.000588235	0	0	0	0	0.014705882
ProASV192	0.102941176	0.008823529	0.02	0.019411765	0	0.009411765	0.013529412	0.005294118	2.242647059
ProASV193	0	0	0	0	0	0.001176471	0	0	0.014705882
ProASV194	0	0	0.000588235	0	0	0	0.006470588	0.005882353	0.161764706
ProASV195	0	0	0	0	0	0	0	0.001176471	0.014705882
ProASV199	0	0	0	0.004705882	0	0.007647059	0.004705882	0.005294118	0.279411765
ProASV206	0.000588235	0	0	0.002941176	0	0.004705882	0	0.005294118	0.169117647
ProASV209	0.002352941	0	0	0	0	0	0	0.001176471	0.044117647
ProASV210	0.007058824	0.005882353	0.004705882	0.004117647	0	0.007647059	0	0.003529412	0.411764706
ProASV213	0	0.010588235	0.001764706	0.008823529	0	0.000588235	0.000588235	0	0.279411765
ProASV215	0.003529412	0.002352941	0.002941176	0.003529412	0	0.004117647	0.002941176	0	0.242647059
ProASV216	0.007058824	0.016470588	0.007647059	0.02	0	0.026470588	0.006470588	0.002352941	1.080882353
ProASV219	0	0	0	0	0	0	0	0.000588235	0.007352941
ProASV221	0.01	0	0	0.008235294	0	0.002941176	0.003529412	0.002941176	0.345588235
ProASV223	0.006470588	0	0	0.002941176	0	0.005294118	0	0	0.183823529
ProASV225	0	0	0	0	0	0	0.000588235	0	0.007352941
ProASV226	0	0	0	0.000588235	0	0.000588235	0	0	0.014705882
ProASV227	0	0	0	0.004117647	0	0.002941176	0.001764706	0.002941176	0.147058824
ProASV228	0.012941176	0.041764706	0.013529412	0.035294118	0	0.01	0.027058824	0.014117647	1.933823529
ProASV232	0	0	0	0.001176471	0	0	0	0.004705882	0.073529412
ProASV233	0.015294118	0.078823529	0.011764706	0.034705882	0	0.017647059	0.031176471	0.017647059	2.588235294
ProASV234	0	0	0	0	0	0.000588235	0	0	0.007352941
ProASV235	0.006470588	0.001764706	0.002941176	0.011176471	0	0.008235294	0.000588235	0.002941176	0.426470588
ProASV237	0	0.001764706	0	0	0	0	0	0	0.022058824
ProASV238	0	0.015882353	0.001764706	0.001176471	0	0	0.002352941	0	0.264705882
ProASV239	0.002941176	0.004705882	0.000588235	0.002941176	0	0.002941176	0.029411765	0.008235294	0.647058824
ProASV242	0.077647059	0.062941176	0.017647059	0.070588235	0	0.030588235	0.045882353	0.052941176	4.477941176
ProASV243	0.053529412	0.022352941	0.030588235	0.071176471	0	0.028235294	0.132352941	0.079411765	5.220588235
ProASV244	0	0	0.000588235	0.002352941	0	0.000588235	0.001176471	0	0.058823529
ProASV245	0	0.011176471	0	0	0	0	0	0	0.139705882
ProASV246	0.021176471	0.029411765	0.013529412	0.042941176	0	0.025882353	0.03	0.018823529	2.272058824
ProASV247	0.004705882	0.005294118	0.000588235	0.014117647	0	0.002941176	0	0.002352941	0.375
ProASV248	0.066470588	0.030588235	0.014705882	0.055882353	0	0.009411765	0.032352941	0.048235294	3.220588235
ProASV250	0.004117647	0	0	0	0	0	0.001176471	0	0.066176471
ProASV251	0	0	0	0	0	0	0	0.000588235	0.007352941
ProASV252	0.017647059	0	0	0	0	0	0.002352941	0	0.25
ProASV253	0.067647059	0.047647059	0.008235294	0.037647059	0	0.023529412	0	0.004117647	2.360294118
ProASV254	0	0	0.000588235	0.008235294	0	0	0	0	0.110294118
ProASV256	0	0	0	0	0	0.001176471	0	0	0.014705882
ProASV257	0	0	0	0	0.026470588	0	0	0	0.330882353
ProASV258	0	0	0	0	0.002352941	0	0	0	0.029411765
ProASV259	0	0	0	0	0.971176471	0	0	0	12.13970588
