	Rhabditis	Mesorhabditis	Cephalobus	Acrobeloides	Ceratoplectus	Ditylenchus	Aphelenchus	Paraphelenchus	Tylencholaimus	Prodorylaimus	Mesodorylaimus	Eudorylaimus	Epidorylaimus	Aporcelaimellus
Rhabditis	0	1	0	0	0	0	0	0	1	0	0	1	0	0
Mesorhabditis	1	0	0	0	0	0	0	0	1	0	0	1	0	0
Cephalobus	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Acrobeloides	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Ceratoplectus	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Ditylenchus	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Aphelenchus	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Paraphelenchus	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tylencholaimus	1	1	0	0	1	0	0	0	0	0	0	1	0	0
Prodorylaimus	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Mesodorylaimus	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Eudorylaimus	1	1	0	0	1	0	0	0	1	0	0	0	0	0
Epidorylaimus	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Aporcelaimellus	0	0	0	0	0	0	0	1	0	0	0	0	0	0
