label	Kindom	Abundance
BACasv411	Bac	0.030105225
BACasv412	Bac	0.073445425
BACasv413	Bac	0.014578738
BACasv417	Bac	0.027775938
BACasv419	Bac	0.0260895
BACasv422	Bac	0.013379925
BACasv425	Bac	0.022209488
BACasv428	Bac	0.039598738
BACasv429	Bac	0.022162763
BACasv430	Bac	0.023313813
BACasv431	Bac	0.016941763
BACasv438	Bac	0.0094969
BACasv439	Bac	0.028982263
BACasv440	Bac	0.065269288
BACasv441	Bac	0.013064025
BACasv442	Bac	0.022159063
BACasv449	Bac	0.02628795
BACasv450	Bac	0.08510465
BACasv455	Bac	0.007921525
BACasv457	Bac	0.001447875
BACasv458	Bac	0.00059375
BACasv459	Bac	0.026942825
BACasv460	Bac	0.007239388
BACasv461	Bac	0.007239388
BACasv462	Bac	0.03747735
BACasv466	Bac	0.019825
BACasv467	Bac	0.0279067
BACasv470	Bac	0.008309788
BACasv472	Bac	0.032344663
BACasv482	Bac	0.0201598
BACasv483	Bac	0.01839635
BACasv484	Bac	0.028715913
BACasv487	Bac	0.0019305
BACasv489	Bac	0.020667663
BACasv492	Bac	0.017319738
BACasv493	Bac	0.032711963
BACasv494	Bac	0.022418175
BACasv495	Bac	0.0451846
BACasv496	Bac	0.01893075
BACasv497	Bac	0.0011875
BACasv511	Bac	0.04767175
BACasv512	Bac	0.001876413
BACasv517	Bac	0.004592975
BACasv521	Bac	0.010192
BACasv528	Bac	0.032346875
BACasv529	Bac	0.026744738
BACasv530	Bac	0.025575075
BACasv532	Bac	0.0096035
BACasv533	Bac	0.06458075
BACasv536	Bac	0.006979825
BACasv539	Bac	0.0099182
BACasv541	Bac	0.01090655
BACasv546	Bac	0.0154183
BACasv547	Bac	0.0131113
BACasv548	Bac	0.018454838
BACasv556	Bac	0.015594775
BACasv560	Bac	0.014110425
BACasv561	Bac	0.019071488
BACasv562	Bac	0.04720465
BACasv569	Bac	0.011806163
BACasv572	Bac	0.00089
BACasv575	Bac	0.011781175
BACasv576	Bac	0.0130338
BACasv577	Bac	0.022098925
BACasv578	Bac	0.005935563
BACasv579	Bac	0.012460838
BACasv580	Bac	0.006543938
BACasv587	Bac	0.014008888
BACasv596	Bac	0.0081311
BACasv605	Bac	0.007098238
BACasv606	Bac	0.005638788
BACasv607	Bac	0.005638788
BACasv608	Bac	0.014588425
BACasv609	Bac	0.007933325
BACasv610	Bac	0.01792315
BACasv611	Bac	0.007933325
BACasv612	Bac	0.012000313
BACasv614	Bac	0.005045225
BACasv621	Bac	0.003716813
BACasv622	Bac	0.003858113
BACasv633	Bac	0.010770075
BACasv634	Bac	0.005342013
BACasv635	Bac	0.007515788
BACasv636	Bac	0.011604213
BACasv637	Bac	0.024959325
BACasv645	Bac	0.008516613
BACasv649	Bac	0.0106032
BACasv650	Bac	0.015264088
BACasv661	Bac	0.0004825
BACasv669	Bac	0.016066063
BACasv670	Bac	0.003861
BACasv671	Bac	0.020381225
BACasv672	Bac	0.022324788
BACasv673	Bac	0.013106313
BACasv682	Bac	0.005845613
