"","Eigenvalues","Relative_eig","Broken_stick","Cumul_eig","Cumul_br_stick"
"1",1.07741148344396,0.311681050965921,0.221215266215266,0.311681050965921,0.221215266215266
"2",0.779063059073423,0.225372753819696,0.1545485995486,0.537053804785618,0.375763865763866
"3",0.314657719614022,0.0910263629549846,0.121215266215266,0.628080167740602,0.496979131979132
"4",0.313934185934826,0.0908170541245087,0.098993043993044,0.718897221865111,0.595972175972176
"5",0.209755477951333,0.0606795164320625,0.0823263773263773,0.779576738297173,0.678298553298553
"6",0.146167912267166,0.0422844653254473,0.068993043993044,0.821861203622621,0.747291597291597
"7",0.121637798644166,0.0351882242775135,0.0578819328819329,0.857049427900134,0.80517353017353
"8",0.103247808141323,0.0298682405431118,0.0483581233581234,0.886917668443246,0.853531653531654
"9",0.0922011283325295,0.0266725805511811,0.04002479002479,0.913590248994427,0.893556443556444
"10",0.083482089471538,0.0241502766428174,0.0326173826173826,0.937740525637245,0.926173826173826
"11",0.0717075044857745,0.0207440432032783,0.0259507159507159,0.958484568840523,0.952124542124542
"12",0.0599532979640862,0.0173437049868713,0.0198901098901099,0.975828273827394,0.972014652014652
"13",0.0430277126899657,0.0124473545325505,0.0143345543345543,0.988275628359945,0.986349206349206
"14",0.0295397705043056,0.00854546926365015,0.00920634920634921,0.996821097623595,0.995555555555556
"15",0.0109887524906383,0.00317890237640545,0.00444444444444444,1,1
