"","Eigenvalues","Relative_eig","Broken_stick","Cumul_eig","Cumul_br_stick"
"1",2.09400689130917,0.633724737451848,0.221215266215266,0.633724737451848,0.221215266215266
"2",0.412047942964136,0.124701105596298,0.1545485995486,0.758425843048147,0.375763865763866
"3",0.299176586019325,0.0905420150304768,0.121215266215266,0.848967858078624,0.496979131979132
"4",0.158350101055395,0.0479226580548955,0.098993043993044,0.896890516133519,0.595972175972176
"5",0.0717985385634859,0.0217289208499809,0.0823263773263773,0.9186194369835,0.678298553298553
"6",0.0547062826705198,0.0165561654864789,0.068993043993044,0.935175602469979,0.747291597291597
"7",0.0502863722459556,0.015218535421844,0.0578819328819329,0.950394137891823,0.80517353017353
"8",0.0387013600519332,0.0117124778049834,0.0483581233581234,0.962106615696806,0.853531653531654
"9",0.0366252465999183,0.0110841682909321,0.04002479002479,0.973190783987738,0.893556443556444
"10",0.0307669374604923,0.00931122502283549,0.0326173826173826,0.982502009010574,0.926173826173826
"11",0.0178320085525996,0.00539663216254756,0.0259507159507159,0.987898641173121,0.952124542124542
"12",0.0159840629210103,0.00483737475749095,0.0198901098901099,0.992736015930612,0.972014652014652
"13",0.0107056004918509,0.00323991477254451,0.0143345543345543,0.995975930703157,0.986349206349206
"14",0.00815853707568116,0.00246907820014134,0.00920634920634921,0.998445008903298,0.995555555555556
"15",0.00513813313570807,0.0015549910967024,0.00444444444444444,1,1
