"","Eigenvalues","Relative_eig","Rel_corr_eig","Broken_stick","Cum_corr_eig","Cumul_br_stick"
"1",0.414985726028277,0.433923831801373,0.375718832225908,0.232254451897309,0.375718832225908,0.232254451897309
"2",0.189713437796364,0.198371116666313,0.177497848057641,0.160825880468738,0.553216680283549,0.393080332366047
"3",0.113083851924975,0.118244496772885,0.110070149573057,0.125111594754452,0.663286829856606,0.518191927120499
"4",0.0966572889389481,0.10106829839507,0.0956161325825597,0.101302070944928,0.758902962439165,0.619493998065427
"5",0.0506403312813944,0.052951331130402,0.0551250153355089,0.0834449280877852,0.814027977774674,0.702938926153212
"6",0.0368489855459258,0.0385306096166594,0.0429897715993814,0.0691592138020709,0.857017749374056,0.772098139955283
"7",0.0223858934719623,0.0234074862444529,0.0302634466371831,0.057254451897309,0.887281196011239,0.829352591852592
"8",0.0199988778409938,0.0209115378197376,0.0281630702823759,0.047050370264656,0.915444266293615,0.876402962117248
"9",0.0149369423505645,0.015618598071278,0.0237089856606748,0.0381217988360846,0.939153251954289,0.914524760953332
"10",0.00963031812092568,0.0100698030761027,0.0190395951836389,0.0301852908995766,0.958192847137928,0.944710051852909
"11",0.00301972565234726,0.00315753252189242,0.0132228204913697,0.0230424337567195,0.971415667629298,0.967752485609628
"12",0.000118479796670101,0.000123886688475243,0.0106699640644203,0.016548927263213,0.982085631693718,0.984301412872841
"13",0,0,0.0102339640122126,0.010596546310832,0.992319595705931,0.994897959183674
"14",-0.000377021372604149,-0.000394226953869391,0.007680404294069,0.00510204081632653,1,1
"15",-0.00327906649793117,-0.00342870853205406,0,0,1,1
"16",-0.01200761891195,-0.012555593318718,0,0,1,1
