ID,Arable6_1,Arable6_2,Arable6_3,Arable6_4,Restored6_1,Restored6_2,Restored6_3,Restored6_4,Arable9_1,Arable9_2,Arable9_3,Arable9_4,Restored9_1,Restored9_2,Restored9_3,Restored9_4
Bac_asv36,0.011518029,0.016245898,0.007969206,0.010761231,0.001411536,0,0.000835143,0.000740223,0.018175108,0.034287334,0.02719081,0.034350057,0,0.010944272,0.004019985,0.003553198
Bac_asv37,0.001739457,0.003184196,0.001373334,0.001516684,0.002725724,0.003671834,0.002394076,0.001315952,0.003413599,0.007438368,0.007535438,0.005487457,0.002595825,0.002757956,0.004307127,0.005304774
Bac_asv38,0.002350618,0.003574098,0.001566761,0.001516684,0.018009248,0.016133818,0.014809866,0.009211663,0.002860042,0.002125248,0.001317384,0.003777081,0.020711366,0.005734798,0.01188767,0.016664998
Bac_asv39,0.000258568,0.000227443,0.000135399,0,0.006376247,0.007121133,0.005734647,0.005017066,0.000645816,0,0,0,0.010438529,0.002320186,0.016539367,0.017916125
Bac_asv40,0,0,0,0,0.017279143,0.01991692,0.011747676,0.008265822,0,0,0,0,0.013559041,0.003195727,0.009877678,0.010059053
Bac_asv41,0.014150722,0.012639309,0.020155129,0.020078001,0.000486736,0.001743194,0.0023384,0.003824485,0,0.004250496,0.003688676,0.002565564,0.000745609,0.009412074,0,0
Bac_asv42,0.009331954,0.010559834,0.002824039,0.006355626,0,0,0,0,0,0,0,0,0,0,0,0
Bac_asv43,0.012646326,0.009747539,0.007698408,0.01791131,0.016013629,0.017580298,0.015812037,0.009705145,0.007657533,0.011618022,0.006112663,0.012471494,0.006379101,0.007573436,0.006948831,0.006105495
Bac_asv44,0,0,0,0,0.004964712,0.01164602,0.001391905,0.000575729,0,0,0,0,0.007649398,0.001575975,0,0.001401261
Bac_asv45,0.006628743,0.002826786,0.003036809,0.004080601,0.014261377,0.012387805,0.020210456,0.014352099,0,0,0.001159298,0.002494299,0.011294598,0.005078142,0.008097398,0.014463017
Bac_asv46,0.007663015,0.004906261,0.009497282,0.006536184,0,0,0.000501086,0.00094584,0.008764646,0.007792576,0.003741371,0.006912771,0,0.004903034,0,0
Bac_asv47,0.00079921,0.00126718,0.000754367,0.000433338,0,0,0,0,0.007196236,0.00531312,0.00432102,0.005629989,0,0,0,0
Bac_asv48,0,0,0.004294087,0.001986133,0,0,0,0,0,0,0,0,0,0.001882415,0.001435709,0
Bac_asv49,0.007357435,0.008642818,0.004990425,0.00429727,0,0,0,0,0.007565274,0.008359309,0.005638404,0.007197834,0,0.000656656,0,0
Bac_asv50,0.004818767,0.000974754,0.005918877,0.006319515,0,0,0,0,0,0,0,0.000427594,0,0.001926192,0,0
Bac_asv51,0,0,0,0,0.012071064,0.008307989,0.007404933,0.008512563,0,0,0,0,0.010189992,0.006741671,0.000401999,0.001351216
Bac_asv52,0,0,0,0,0.004721343,0.004005638,0.007850342,0.0068265,0,0,0.000316172,0.000427594,0.006876174,0.012345139,0.014759088,0.010559504
Bac_asv53,0,0,0,0,0.005305427,0.003449299,0.003451924,0.002302916,0,0,0,0,0.005578261,0,0.00419227,0.005905315
Bac_asv54,0.0129284,0.012444358,0.006131647,0.009533439,0,0,0,0,0.008395608,0.00531312,0.005322232,0.004988597,0,0,0,0
Bac_asv55,0.003126322,0.003704065,0.001972959,0.001336126,0.004818691,0.004042727,0.004398419,0.005592795,0.002029708,0,0.001264689,0.00263683,0.004031813,0.019130587,0.011830242,0.011009909
Bac_asv56,0,0,0,0,0,0,0,0,0,0,0,0,0.001270297,0.008317647,0.00419227,0.009258332
Bac_asv57,0.003690471,0.004808786,0.007060098,0.004730608,0,0,0,0,0.012639542,0.01948144,0.017284081,0.021094641,0,0.00691678,0,0
Bac_asv58,0,0,0,0,0.029690922,0.045545583,0.031791103,0.036353169,0,0,0,0,0.02399757,0.007091888,0.003675415,0.006505855
Bac_asv59,0.002233087,0.001234688,0,0,0,0,0,0,0.011809207,0.008005101,0.012225325,0.002351767,0,0,0,0
Bac_asv60,0.004489681,0.003931507,0.006286389,0.003683374,0,0,0,0,0,0.002054406,0.001528166,0.001567845,0,0.000481548,0,0
Bac_asv61,0,0,0,0,0.005110733,0.011423485,0.004175714,0.003084262,0,0,0,0,0.003424279,0,0.000574284,0.001401261
Bac_asv62,0.004419162,0.003086721,0.001005822,0.001986133,0,0,0,0,0,0,0,0,0,0,0.004594269,0
Bac_asv63,0.006135114,0.007115703,0.001992302,0.001733353,0.002190314,0.001001409,0.001614609,0.00176831,0.005720085,0.002621139,0.002950941,0.000997719,0.001601679,0.001532198,0,0.003202883
Bac_asv64,0.001904001,0.00126718,0.000773709,0.000613896,0.00053541,0,0,0.000370111,0.007657533,0.009846982,0.012804974,0.007767959,0.001021761,0.000875542,0.000516855,0
Bac_asv65,0.005218372,0.006530851,0.001895588,0.002672252,0,0,0,0,0.003598118,0.00354208,0.002529378,0.003278221,0,0,0,0
Bac_asv66,0,0,0,0,0.004380628,0.002707514,0.009743333,0.007731217,0,0,0,0,0.004252734,0.009412074,0.001091139,0.001151036
Bac_asv67,0.004231113,0.004191442,0,0,0,0,0,0,0.001014854,0.001133466,0.000632344,0.000855188,0,0,0,0
Bac_asv68,0.0041841,0.003671573,0.002533898,0,0,0,0,0,0,0.00134599,0.001949729,0.001710376,0,0,0,0
Bac_asv69,0,0,0,0,0.002579703,0.007603294,0.00890819,0.006209648,0,0,0,0,0.003148128,0.001313313,0.002124849,0.002302072
Bac_asv70,0,0.00090977,0.00183756,0.000541673,0.018982721,0.010867146,0.01737097,0.01447547,0.006919458,0.00219609,0.001633556,0.002850627,0.013835193,0.009149411,0.023373342,0.021018917
Bac_asv71,0.001927507,0.002241934,0.000522254,0.00046945,0,0,0,0,0.007749792,0.001912723,0.002318596,0.001282782,0,0.000787988,0,0
Bac_asv72,0.012716845,0.011372129,0.010445076,0.019500217,0.005013385,0.006898598,0.008629809,0.008019081,0.016514439,0.010838765,0.010222901,0.008623147,0.00439081,0.006522786,0.018721645,0.013061756
Bac_asv73,0,0,0.003210894,0.003358371,0.002823071,0.001594837,0,0.000863593,0,0,0,0,0.001242682,0,0,0
Bac_asv74,0.001175309,0.001754557,0.00332695,0.002275025,0,0.000333803,0,0,0.002491005,0.00134599,0.001422775,0.001567845,0,0.002801734,0,0
Bac_asv75,0.006323163,0.005686064,0.003307607,0.00357504,0.002969092,0.001261034,0.003785981,0.003454373,0.004336193,0.006092377,0.00216051,0.004418472,0.001546449,0.002495294,0.000574284,0.001251126
Bac_asv76,0.004795261,0.005198687,0.000657653,0.003394482,0,0,0,0,0.003598118,0.004108813,0.001738947,0.002993158,0,0.002057523,0,0
Bac_asv77,0,0,0,0,0.00160623,0.000407982,0.000668114,0.004441337,0,0,0,0,0.007649398,0,0.000114857,0.001951757
Bac_asv78,0,0,0,0,0.008225846,0.006119724,0.006402762,0.00505819,0,0,0,0,0.008726389,0,0.001780279,0.004003603
Bac_asv79,0,0,0,0,0.006619615,0.00630517,0.005623295,0.009993009,0,0,0,0,0.006185795,0.001444644,0.001550566,0.000950856
Bac_asv80,0.012716845,0.011339637,0.006034933,0.008197313,0,0,0.001113524,0,0.009410462,0.009846982,0.010539074,0.006770239,0.000276152,0.0021013,0.003273416,0.004704234
Bac_asv81,0.005218372,0.006270917,0.004274744,0.004008378,0.000486736,0,0.000556762,0.000575729,0.005166528,0.007155001,0.007271961,0.005131129,0.000303767,0.002933065,0,0
Bac_asv82,0.005006817,0.005718556,0.003152866,0.00476672,0.000924799,0,0.001391905,0.001028087,0.011624689,0.005100595,0.007535438,0.005487457,0.001270297,0.004377709,0,0
Bac_asv83,0,0,0,0,0.007836457,0.006564795,0.005289238,0.006867623,0,0,0,0,0.00626864,0,0,0.001301171
Bac_asv84,0,0,0,0,0.006230226,0.00923522,0.004621124,0.009581774,0,0,0,0,0.007566553,0,0.003273416,0.003152838
Bac_asv85,0,0,0,0,0,0,0,0.001809434,0,0,0,0,8.28E-05,0.006303901,0.000401999,0.00020018
Bac_asv86,0.002186075,0.002859278,0.001508733,0.000505561,0,0,0,0,0.006273641,0.006021536,0.00284555,0.003563284,0,0.001138204,0,0
Bac_asv87,0.001198815,0.001689573,0.000174085,0,0.00160623,0.003263853,0.005456266,0.003331003,0,0,0,0,0.001601679,0.00450904,0.006546833,0.007406666
Bac_asv88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007925113,0
Bac_asv89,0.001833482,0.001299672,0.007621037,0.001372237,0,0,0,0,0,0.000920941,0.001001212,0.001211517,0,0,0.002067421,0
Bac_asv90,0.003173335,0.003021737,0.001334649,0.003538928,0,0,0,0,0,0.000566733,0.000737735,0.000285063,0,0,0,0
Bac_asv91,0,0,0,0,0.005792164,0.006490616,0.003340571,0.005222684,0,0,0,0,0.008312162,0,0,0
Bac_asv92,0.003455409,0.00324918,0.001295963,0.002202802,0,0,0.000278381,0.000411235,0,0.00708416,0.004162934,0.004418472,0,0.000569102,0.001550566,0.000800721
Bac_asv93,0,0,0,0,0.006716963,0.005563386,0.004732476,0.000575729,0,0,0,0,0.001435988,0,0.000746569,0
Bac_asv94,0,0,0,0,0.008615235,0.006750241,0.009353599,0.009993009,0,0,0,0,0.009913841,0.003020619,0.001148567,0.003803423
Bac_asv95,0.002656199,0.00289177,0.000599625,0.001516684,0,3.71E-05,0,0,0.005720085,0.008075942,0.004426411,0.005986317,0.000165691,0.000569102,5.74E-05,0
Bac_asv96,0.001974519,0.002404393,0.003017466,0.000830565,0,0,0,0,0.01632992,0.010838765,0.008852822,0.006556442,0,0,0,0
Bac_asv97,0.000587655,0.000389902,0.001160564,0.000794453,0.003455829,0.001631926,0.000389733,0.000493482,0.000738075,0.000850099,0.001001212,0.001639111,0.005136419,0.002976842,0.000287142,0.00010009
Bac_asv98,0,0,0,0,0.008031151,0.00682442,0.004899504,0.004646955,0,0,0,0,0.006738098,0,0.000918854,0.005554999
Bac_asv99,0.003549434,0.002436885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bac_asv100,0.001198815,0.001657082,0.000773709,0.001083345,0,0,0,0,0.005812344,0.002691981,0.002792855,0.002565564,0,0,0,0
Bac_asv101,0,0,0,0,0.014748114,0.024404718,0.015310952,0.013611876,0,0,0,0,0.013420965,0,0,0.001951757
Bac_asv102,0.006346669,0.007440621,0.002998124,0.00548895,0.000340716,0.003560567,0.005734647,0.006333018,0.006827198,0.003754605,0.002740159,0.004917332,0.002954822,0.007354551,0.009877678,0.017215494
Bac_asv103,0.002374124,0.002956753,0.001779532,0.002275025,0.001216841,0.001743194,0.00072379,0,0.004705231,0.003471238,0.002213205,0.005131129,0,0.00315195,0.00068914,0
Bac_asv104,0.002374124,0.003281671,0.001779532,0.001227791,0.002238988,0,0.001057848,0,0.002860042,0.003612922,0.000263477,0,0.002706285,0.002670402,0.00419227,0.002552297
Bac_asv105,0.000681679,0.001072229,0.000522254,0.000975011,0,0,0,0,0.002860042,0.007013318,0.000948517,0,0,0,0,0
Bac_asv106,0.000963753,0.001202196,0.00106385,0.00191391,0.003358481,0.003708924,0.007293581,0.007484476,0,0,0,0,0.003396664,0.010550278,0.001607994,0.003202883
Bac_asv107,0.007122373,0.005848523,0.003481692,0.005055612,0,0,0,0,0.002767783,0,0,0,0,0,0,0
Bac_asv108,0.001904001,0.00289177,0.000406197,0.000397227,0,0,0,0,0.005166528,0.002479456,0.004795278,0.004204675,0,0,0,0
Bac_asv109,0,0,0,0,0.003017766,0.002225354,0.002449752,0.001809434,0,0,0,0,0.003120513,0,0.001148567,0.001351216
Bac_asv110,0.001856988,0.001429639,0.001025165,0.001300014,0.00574349,0.005192493,0.010745504,0.009581774,0.000922594,0.001700198,0.001211993,0.001282782,0.004611731,0.012651578,0.003330845,0.012961665
Bac_asv111,0.001645433,0.001494623,0.002147043,0.002744475,0.01577026,0.011497663,0.017593675,0.014393223,0,0,0,0,0.011902132,0.017817274,0.006776546,0.008707837
Bac_asv112,0.000517136,0.000617344,0.002553241,0.003250036,0.00160623,0.001298123,0,0.000699099,0.002214226,0.001204307,0.001844338,0,0.00096653,0.000875542,0.001895136,0.003302973
Bac_asv113,0.001974519,0.001104721,0.006402445,0.002238914,0.00160623,0.001631926,0.002227047,0.002056175,0.001845189,0.001416832,0,0,0.001270297,0.003808607,0,0.000450405
Bac_asv114,0.000963753,0.001559606,0.000793052,0.000505561,0,0.002002819,0.001837314,0.001357075,0,0.002550298,0.002582073,0.003492018,0.002292058,0.002320186,0.000803997,0.002151937
Bac_asv115,0,0,0,0,0.008809929,0.006268081,0.004342743,0.005551672,0,0,0,0,0.010300453,0.003939938,5.74E-05,0.001351216
Bac_asv116,0.005688496,0.005556097,0,0,0,0,0,0,0.005166528,0.00488807,0.002107815,0.001924173,0,0,0,0
