"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15"
"Arable6_1",-0.350177371281898,-0.167001882929769,0.0819969364413641,-0.0378401241627096,0.00711167743317179,-0.0164099956407454,0.0861909652803192,-0.00583496359060136,-0.0155548821777395,-0.0113378203649225,0.00829687501656405,-0.0160666092257312,-0.0175587974980732,0.0565280591637188,-0.0299211901146767
"Arable6_2",-0.34916420994801,-0.138478320503524,0.0790842109684149,-0.0107448305680948,0.0364838977498697,-0.0268270587940264,0.124261426975283,-0.0250653159394613,-0.0256999463769853,-0.0359900713127059,-0.0214039225912796,0.00468389665015439,-0.00799693585465524,-0.0470783591692177,0.0216570895337869
"Arable6_3",-0.344912048119124,-0.24102828217679,0.125412688815151,-0.0470716055856781,-0.0189777373348734,0.0187337144175529,-0.122815867965056,0.0130721635480739,-0.0192534878574508,-0.00936669633053338,-0.0012510348554644,0.00714713527953581,-0.00270200978246243,-0.0342118514173259,-0.0318094805555508
"Arable6_4",-0.338875883175693,-0.19650905117583,0.118028233420972,-0.0469395248996225,-0.0282261727565542,-0.00173399543749005,-0.0463213572531342,0.017034817794143,0.051130770031987,0.0339902889740058,0.0126777752241414,0.000658367092099999,0.0330209811638687,0.0256574653451181,0.0434028291831719
"Restored6_1",0.441737463723023,-0.0554371690404132,-0.101486180186446,-0.058077018879505,-0.0396148865561238,-0.0867498942665805,0.0158307786510791,0.10822071896588,0.0593139051563846,-0.0116596142393446,-0.0209561002401335,0.0462161623501279,-0.0239233224798553,-0.00135283063777301,-0.00294644782932024
"Restored6_2",0.431126482894989,-0.0996321629719425,-0.122502456118244,-0.0877410033201673,-0.0191399698913821,-0.0174173247566448,0.0166519049331246,-0.0987385877118748,0.0620829618661249,0.08244859327366,0.0160881951375458,-0.0309928919754665,-0.0106474951049767,-0.0163337190253792,-0.00839483730809077
"Restored6_3",0.407729964102138,-0.0941972197309078,-0.071615038213211,0.0368351885118213,0.0281849028039427,0.126230494383886,0.00403724465656253,0.0721051307328831,0.00243960923993755,-0.0352445598959269,0.00326235931744725,-0.0690503255018636,-0.0141144755732558,-0.00293282905232751,0.00871403186356719
"Restored6_4",0.410004617980804,-0.113652199875117,-0.0867918542394453,0.0206547886299691,0.0410018219339662,0.107339479253958,0.0112926388869392,-0.0386215496593876,-0.0521300997632971,0.0121256982552947,-0.0025513834192232,0.0803783609607122,0.0145253318002955,0.012564616928992,0.00124335591858005
"Arable9_1",-0.35793162509158,0.167201940268535,-0.116060928953614,-0.0042106465207112,-0.0142983808230487,-0.00193559655274501,0.0203783871779708,0.0659903636535372,-0.0770412777000426,0.10726038402593,-0.0312800412020576,-0.0151586495363153,0.0170742282106392,-0.0055223562201539,-0.00420037359693563
"Arable9_2",-0.357015414089655,0.16619995189147,-0.152219506680411,0.00709044215420428,-0.0015332655097259,0.00365776963761912,0.0245893571416463,0.020556062515486,0.0232698540970307,-0.0308937273330432,0.100860740826234,0.0135237177662262,0.0226793131499981,-0.0132091340986124,-0.00766847676244357
"Arable9_3",-0.372297293353734,0.156248768731907,-0.120660363660793,-0.00963225166125586,0.00690856829158025,-0.00365903821203955,-0.0726654677216042,-0.0404868598682842,-0.0269635199584914,-0.0125232295468142,0.00158298958078332,0.00766187679070799,-0.0714673559817478,0.0122760011690491,0.0215298320532891
"Arable9_4",-0.345073629250187,0.168780841179536,-0.132826341277625,0.000638687437641211,0.0223758220195621,0.0307726868102314,-0.0128303498933761,-0.0381858217394647,0.0820810676725899,-0.0514265097844639,-0.0720986268292193,-0.00370003595001274,0.0321050398643178,0.00594522769379375,-0.0111973549501134
"Restored9_1",0.450961541253039,-0.0222690737697953,-0.0939789853089099,-0.0219349829009153,-0.0423911756935962,-0.10427183358909,-0.0402091039756056,-0.0331398022016986,-0.0904195853518962,-0.0617686926343881,-0.00151106004871289,-0.0283683438161153,0.0338647700081973,0.00914076044722499,0.00609943427750623
"Restored9_2",0.0803440945005299,-0.0197636931941614,0.0783069823372994,0.364781596721168,-0.0259824365011257,-0.0391897916202283,-0.00696854065659587,-0.0129652363951197,0.0216414069355838,0.0196348405585553,0.000641688365071792,0.000481762881465969,-0.00436816418419692,-0.000406251968189832,-0.00372701880002296
"Restored9_3",0.273406361472682,0.291095098978881,0.289213260104561,-0.0634673462493857,-0.149826035632135,0.0538287268753505,0.02559785477515,-0.0137484493978899,-0.00211577733798477,-0.00995708450362733,-0.000852084697724746,0.00541248984602181,-0.00408825611540055,-0.00248006009578196,-0.000610542081545846
"Restored9_4",0.320136948382675,0.198442454317923,0.226099342550936,-0.0423413687067586,0.197923370466472,-0.0423683425090081,-0.0270198710127032,0.00980732929378006,0.00721900152425102,0.0147082008583255,0.00849363041602806,-0.00282691361154597,0.00359714837730533,0.00141526093686526,-0.00217085083120652
