"","Eigenvalues","Relative_eig","Broken_stick","Cumul_eig","Cumul_br_stick"
"1",1.7814881051593,0.625607829286828,0.221215266215266,0.625607829286828,0.221215266215266
"2",0.370033926510659,0.12994536469617,0.1545485995486,0.755553193982998,0.375763865763866
"3",0.178236371536059,0.0625915318624391,0.121215266215266,0.818144725845438,0.496979131979132
"4",0.105105274876667,0.0369099758071676,0.098993043993044,0.855054701652605,0.595972175972176
"5",0.092258092979188,0.0323984118197023,0.0823263773263773,0.887453113472307,0.678298553298553
"6",0.0832615179288458,0.0292390711696241,0.068993043993044,0.916692184641931,0.747291597291597
"7",0.0617817998894144,0.0216960066173406,0.0578819328819329,0.938388191259272,0.80517353017353
"8",0.0501176128388787,0.0175998766909336,0.0483581233581234,0.955988067950206,0.853531653531654
"9",0.0362299925869882,0.0127229404180595,0.04002479002479,0.968711008368265,0.893556443556444
"10",0.0342416664275871,0.0120246969614265,0.0326173826173826,0.980735705329692,0.926173826173826
"11",0.0262375620318466,0.00921388370822397,0.0259507159507159,0.989949589037916,0.952124542124542
"12",0.0177967358375017,0.0062497062110302,0.0198901098901099,0.996199295248946,0.972014652014652
"13",0.00592598525633452,0.00208103706214175,0.0143345543345543,0.998280332311088,0.986349206349206
"14",0.00368700256770337,0.00129477017908554,0.00920634920634921,0.999575102490173,0.995555555555556
"15",0.00120994307333392,0.000424897509827257,0.00444444444444444,1,1
