"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15"
"Arable6_1",-0.224815380445084,0.15534821629991,-0.0768559517423685,0.0284360917873749,0.0164329930975981,-0.0576023789120523,-0.0260289164706608,0.07156803839888,-0.0412075898065539,0.0424106836666723,0.0472914148745734,-0.0351397271783451,0.0455798136222399,0.00358643360510634,0.00687344251936579
"Arable6_2",-0.317897227488674,0.153022803383496,-0.133823632113105,0.00666514821871324,0.0701632992538372,-0.0180696056330206,-0.0470003254356064,0.0845205171624014,-0.0527050836905061,-0.0545550372090456,-0.0596265409733088,0.00629742306099334,-0.0303683005653203,-0.00508233330535576,-0.00454337200678403
"Arable6_3",-0.335434151904984,0.068216379115682,-0.12457474439256,0.0162481693617448,0.0302365025000413,0.0585046465020841,0.0841586190069812,-0.0598462632378576,0.037121110712611,0.00630899368600896,0.00707879830081633,0.0341116850337042,0.0221678819143702,-0.0187688260306808,-0.0173957462332238
"Arable6_4",-0.306143837499513,0.0445543411199408,-0.119794846034101,0.0450323846329382,-0.00817485378299733,0.0477577249414699,0.0979711088942062,-0.0238161001370714,0.0546526967420825,0.0146955869746487,0.00684156866240043,-0.0070277739402742,-0.0237108286199621,0.019301596054857,0.01891498649059
"Restored6_1",0.320735447483335,0.14957859250893,0.0962289922318947,-0.0103046796346682,-0.0154310638182594,0.0464834495594581,-0.00155478371786648,-0.0174465656269375,0.0190690752437506,-0.100808706358221,-0.0314472937678486,0.015257064174556,0.0241341064793259,-0.0185537860471114,0.0148572149240838
"Restored6_2",0.296752013384678,0.167450492316627,0.140728357586085,0.0468672839511494,0.0518550150008446,0.0871412784975517,0.0230712747388294,-0.0052628675180136,-0.0191429903164858,-0.0298243949812822,0.0160940108490793,-0.0229026693629077,-3.84470997243798e-05,0.0354744699281264,-0.0127335879397891
"Restored6_3",0.302089060213365,0.22108334259706,0.059608713665561,-0.006078272804107,-0.049095404526715,0.00958255796852798,-0.00672154027381318,-0.0184851179382981,-0.00153364700995334,0.0573749283346467,0.0433100680495206,-0.0434915917673386,-0.0323959414978152,-0.0301090027023755,-0.00161763738079232
"Restored6_4",0.288569745522505,0.183971595296455,0.00301060890905525,-0.0251408552736323,-0.0869462867487954,-0.106944037159043,-0.0349030681676337,-0.025754463268036,0.0190771394119701,0.0668289398603269,-0.0515783169763233,0.0635443965653356,0.00223772052699126,0.0160727286124755,-0.00125528715687939
"Arable9_1",-0.330420403449446,-0.125236523346756,0.228784746971454,0.123106501471077,0.0815020795335639,-0.102831032089185,0.0162585679644991,0.0509592381129607,0.0594539594993029,0.00714378645248545,0.00672218262773255,0.0175486045279568,-0.00593965171354086,-0.00781621583026402,-0.000573314240512343
"Arable9_1.1",-0.367685344840723,-0.0847606263225947,0.120746403345162,-0.233486048315829,-0.0675059219588578,-0.0127762348332762,0.0884159781512243,0.0402409917382757,-0.0292459462399837,-0.00451032423265257,-0.00386647751750522,-0.00689403847484352,-0.000375741472053051,0.00266143413244259,-0.00160700001090754
"Arable9_3",-0.381948880488183,-0.108340480935233,0.0117509778211863,-0.0155484324870676,-0.096221488996757,0.123834411226371,-0.160124027718011,0.0173834410786052,0.0524153488048603,0.000306542958986345,0.0258005763224863,0.0106758234065225,-0.00083716194213425,0.00439486629733875,-0.00166172618010131
"Arable9_4",-0.382954875884665,-0.109060921656703,0.0357321375504323,0.0358800482137806,0.00229369281947914,-0.0616904997971758,-0.0467301429976844,-0.157914853772157,-0.0753930011700512,-0.0129708181896421,-0.0191970286533094,-0.0282524227708307,-9.76660836328872e-05,0.00170185856019329,0.00204438045315567
"Restored9_1",0.378687854546926,-0.138705517911079,-0.0451752750224243,-0.127852722149526,0.202598377303965,0.0226021511833438,-0.0478860227866229,-0.0195655963935966,0.0388103965923829,0.0463454409600434,-0.0207725576264783,-0.0141005304591627,0.00313977062635475,-0.000240350366119979,0.00323373247736907
"Restored9_2",0.308746958052317,-0.244295118998583,0.0101701072388277,0.0965290987819965,-0.0343027932623181,0.108576614817914,0.0423717212899929,0.0433230518244675,-0.0888926843150341,0.0565872772466499,-0.0313713967177622,0.0263613941092339,0.00266927440389216,-0.00730969579194754,0.00325420736647117
"Restored9_3",0.374336344923127,-0.135567571255599,-0.0957052053610063,-0.021252034180942,0.00494943460100161,-0.073342272874718,-0.00177810978988802,-0.00493430164291722,-0.0291602332179437,-0.0592248162346474,0.102931059798162,0.048279433799403,-0.012124981081829,0.0030726774344255,0.000188427224848193
"Restored9_4",0.377382677875018,-0.197259002211552,-0.110831390654093,0.0408983184269985,-0.102353581015631,-0.0712267733982492,0.0204796673120531,0.0250308512192943,0.0566814487595504,-0.0361080829349793,-0.0382100672522355,-0.0642670707240014,0.00596015250283369,0.00161414544889032,-0.00797872030689467
