"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15"
"Arable6_1",-0.298325191468588,0.0437376282081826,-0.00289897554904219,0.100858682803977,0.0139755313964274,-0.0841129850411865,-0.0708783302076612,-0.134080344137203,-0.14186150917138,0.135504506709346,-0.0489414485169763,0.00462184694277369,-0.0248825269373444,0.0443013907651321,0.00519146039397754
"Arable6_2",-0.272045633175996,0.0299876584970712,0.0319298550088329,0.178849534966033,-0.0657422023432539,-0.100339018715634,0.240594492807334,0.0091269223441233,0.112244792126432,0.0566682876286158,0.0288651671639691,-0.0211923895344455,-0.00943587327427508,-0.00105906494568152,0.00041558993727983
"Arable6_3",-0.310061005035262,-0.0104025134634803,0.00721178192005024,-0.286698721967872,0.161626244260329,0.0074540510637722,0.0230134408156461,-0.0687045751198601,0.00311734333185151,-0.063075077718944,0.0879432904546302,-0.0905949140113646,-0.040972674737994,-0.000911256569009884,0.0295732200662506
"Arable6_4",-0.292452459880776,0.0657812392922488,0.0109061649454102,0.0696826454276257,0.0656848131773709,-0.0766610183451928,-0.0755551727878054,-0.00427400749713533,-0.000434857593094318,-0.0461924783756122,-0.00674392518538968,0.0839327405640465,0.00982442322146847,-0.131011241998625,-0.00450418224556638
"Restored6_1",0.12813265295353,0.107873124279972,-0.20806532025146,0.0895960111350563,0.0717830633445777,0.094993155393163,-0.0370015145381222,0.166617422471735,-0.0157810584342726,0.0919226124712089,-0.014744760920168,-0.0739189482510137,-0.0782769637653606,-0.0305995549518654,0.00780761907747687
"Restored6_2",0.20023196309517,0.111966484166201,-0.141167002616766,0.0876111178175434,0.0392238054490765,-0.115274107972555,-0.000516258550110732,0.0400744698587549,-0.0957143556046681,-0.0537123672348679,0.0882200195309596,-0.0665362943418472,0.118544849662319,0.0151150893243762,-0.0187461990038562
"Restored6_3",0.192357431436795,0.0958661822403914,-0.139622865676145,-0.0122931571105938,0.0577878640191572,0.201865417490608,0.0971804701144257,-0.148282629033615,0.0211788064686924,0.00753277840888963,-0.0913405363454033,-0.00145961138776511,0.0651680795338468,-0.0253776178293565,-0.00360665215819831
"Restored6_4",0.23082282367717,0.0987708048468131,-0.213640718140289,0.121644199083449,-0.00701854589938986,-0.0640678736861229,-0.0442137225621001,-0.0634378337027507,0.0722768867377071,-0.131279024923237,0.00257643176275439,0.0700822408023258,-0.0807684327782362,0.0535875453785249,0.00814173591900383
"Arable9_1",0.0608279246937333,-0.844302076625734,-0.0553618095342168,0.037915968584165,-0.00300511694028104,0.00976684265942667,-0.012513680036644,0.00479638651999491,0.000186672401278931,0.00243591732320258,0.00277946983677875,0.00486257126588219,0.00872273010019344,-0.00231293141894768,0.000375928698388883
"Arable9_2",-0.262066913096134,0.0333996968076809,-0.0545214183701245,-0.235609511466465,0.117158756245034,-0.027570282137901,0.00949082236143636,0.121672144263119,0.0447506006508311,0.022699251516482,-0.075478595822761,0.08619515222594,0.0348520239766861,0.0583507576426643,-0.0325692502555973
"Arable9_3",-0.304970572432084,0.0364657373716206,0.0890158239226391,0.0401274364037852,-0.189120531991425,0.106664618548796,-0.101305267885905,-0.017602529029058,0.042362585900307,-0.0580178697869413,0.00167303055172888,-0.0822206036390081,-0.0168354418688373,0.0101914524869981,-0.0574876187702492
"Arable9_4",-0.256227844770618,0.0644537667051269,0.0600569115645124,0.0502054651640371,-0.166309993479801,0.117479210786616,-0.00470298079487881,0.0886506449663317,-0.0552456933559587,-0.0587287393078238,-0.00589034612002009,0.0443985032154208,0.0485480263504278,0.0263663584753473,0.0631635772879661
"Restored9_1",0.270999114872543,0.0751012692539493,-0.00513480015876549,-0.166376721723127,-0.140575984728054,0.0464975889937781,-0.0247454215317535,-0.0311107854547647,0.0202140951574552,0.118418868059019,0.156364061573634,0.0874794591693726,-0.00349461052269207,-0.011094476994442,-0.00738114979945319
"Restored9_2",0.353927011439601,0.0194127168009853,0.0566642995622306,-0.228106156649933,-0.192445986167041,-0.136503096154008,0.0574938898271561,0.014166431828352,-0.0628953445301441,-0.0288888191656495,-0.111263854137999,-0.0397088128508271,-0.0317861293372511,-0.0322625255567084,0.00345022968639979
"Restored9_3",0.274612186296815,0.0179199468634418,0.331785444115501,0.104887715954155,0.155118109162815,0.0766152879135457,0.0806535689427514,0.0292754752118571,-0.0979479857240034,-0.047475541664958,0.0219717733505969,0.0417181124846796,-0.0477685494976216,0.0139781500446336,-0.020726798916573
"Restored9_4",0.2842385113941,0.0539683347555295,0.232842629257631,0.0477054915781654,0.0818601744944591,-0.0568077907971044,-0.136994335973769,-0.00688719348988017,0.153549021638967,0.0521876960612688,-0.0359897771763344,-0.0476590526541699,0.0485610698746691,0.0127379261469611,0.0269024900827498
