ID,Arable6_1,Arable6_2,Arable6_3,Arable6_4,Restored6_1,Restored6_2,Restored6_3,Restored6_4,Arable9_1,Arable9_2,Arable9_3,Arable9_4,Restored9_1,Restored9_2,Restored9_3,Restored9_4
Pro_ASV53,0,0,0,0,0,0.001764706,0.001176471,0.002352941,0,0,0,0,0,0,0.009411765,0
Pro_ASV54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006470588,0
Pro_ASV55,0,0,0,0,0.002941176,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV56,0,0,0,0,0.005294118,0.005882353,0.003529412,0.005294118,0,0,0.000588235,0,0.008823529,0.003529412,0.002352941,0.003529412
Pro_ASV57,0,0,0,0,0.000588235,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV58,0,0,0,0,0,0,0.000588235,0,0,0,0,0,0,0,0.000588235,0.000588235
Pro_ASV59,0,0,0,0,0,0,0,0.001176471,0,0,0,0,0,0,0,0
Pro_ASV60,0,0.001764706,0,0.001176471,0,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV61,0,0,0,0,0,0.001764706,0,0.001764706,0,0.001176471,0,0,0,0,0,0
Pro_ASV62,0.002352941,0,0,0.001764706,0,0.009411765,0.005294118,0,0,0,0,0,0.000588235,0.018235294,0,0
Pro_ASV63,0,0.010588235,0.000588235,0,0.005882353,0.004117647,0,0.005294118,0,0,0.003529412,0.011176471,0,0.007058824,0.002352941,0.006470588
Pro_ASV64,0,0,0,0,0,0,0.009411765,0,0,0,0,0,0,0,0,0
Pro_ASV65,0,0,0.001176471,0,0.01,0.007058824,0,0.003529412,0,0,0,0,0.027647059,0,0,0.008823529
Pro_ASV66,0,0,0,0,0.005882353,0.004117647,0.012941176,0.011764706,0,0,0,0,0.008235294,0.020588235,0,0.001764706
Pro_ASV67,0,0,0.002941176,0,0.019411765,0.006470588,0.004117647,0.005882353,0,0,0,0.004117647,0,0,0.005882353,0
Pro_ASV68,0,0,0,0,0,0,0.008823529,0,0,0,0,0,0,0,0,0
Pro_ASV69,0,0,0,0,0,0,0.001764706,0,0,0,0,0,0,0,0,0
Pro_ASV70,0,0,0,0,0.006470588,0,0.011764706,0,0,0,0,0,0,0,0.005882353,0.022941176
Pro_ASV71,0,0,0,0,0.000588235,0.000588235,0.001764706,0,0,0,0,0,0.009411765,0,0,0
Pro_ASV72,0,0,0,0,0.004117647,0.003529412,0.008235294,0,0,0.002352941,0,0.003529412,0.007058824,0.003529412,0.008823529,0.007058824
Pro_ASV73,0,0,0,0,0,0,0,0,0,0,0,0,0.001764706,0,0,0.000588235
Pro_ASV74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008823529,0.000588235
Pro_ASV75,0,0,0,0,0.001176471,0,0,0,0,0,0,0,0,0,0,0
Pro_ASV76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004117647,0,0
Pro_ASV77,0,0,0,0,0.003529412,0,0.007647059,0.005882353,0,0.001764706,0,0,0.004705882,0,0.002941176,0.004705882
Pro_ASV78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001176471,0
Pro_ASV79,0,0,0,0.001764706,0,0,0,0,0,0,0,0.001176471,0,0,0,0
Pro_ASV80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001176471,0,0
Pro_ASV81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001176471,0,0
Pro_ASV82,0,0,0,0,0,0,0.000588235,0,0,0,0,0,0,0,0,0
Pro_ASV83,0,0,0,0,0.001176471,0,0,0.002352941,0,0,0,0,0,0,0,0
Pro_ASV84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007058824,0.001176471
