nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
BACasv898	-0.732077728859303	0	37	1
BACasv9	0.821867520932293	0.108336636279561	87	2
BACasv90	0.786315184679961	0.286755518533944	98	2
BACasv91	-1.38237732671231	0	20	2
BACasv92	0.750762848427629	0.212534718029224	91	2
BACasv928	-0.732077728859303	0	37	1
BACasv929	-0.732077728859303	0	37	1
BACasv931	-0.732077728859303	0	37	1
BACasv96	0.0397161233809838	0.400638699375817	83	2
BACasv966	-0.732077728859303	0	37	1
BACasv969	-1.13060524989514	0.381328073635766	39	1
