ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
BACasv287	0.000261165	0.000501052	0.000791506	0.000290423	0.001919553	0	0.001000751	0.002440753
BACasv288	0.002682875	0.004208839	0.003494208	0.002650113	0	0.001307759	0.001050788	0
BACasv305	0	0	0	0	0	0	0.002952214	0
BACasv325	0.00052233	0.00076828	0.000250965	0	0	0	0.0008006	0
BACasv352	0.000474845	0.000567859	0	0.000217817	0	0	0.000350263	0
BACasv367	0	0	0	0	0	0.001017146	0.000850638	0.001968349
BACasv374	0	0.000300631	0	0	0	0	0.000700525	0.001102275
BACasv385	0.000379876	0	0	0	0	0	0.000450338	0
BACasv388	0.000284907	0.000400842	0.000714286	0.000363029	0	0.000290613	0.000150113	0.000236202
BACasv428	0.000237423	0	0	0	0	0.001235106	0.000750563	0.000944807
BACasv440	0.000783494	0.001402946	0.000868726	0.001415814	0	0	0.000750563	0
BACasv472	0.000356134	0.000701473	0.000135135	0	0	0.000944493	0.000450338	0
BACasv511	0.000641041	0.001068911	0.00046332	0.000689755	0	0	0.000950713	0
BACasv512	0	0	0	0	0	0	0.000150113	0
BACasv562	0.000237423	0.000434245	0	0	0.000436262	0.00043592	0.000500375	0.001732147
BACasv596	0	0	0	0	0	0	0.000650488	0
BACasv637	0	0.000334035	0	0	0	0.00065388	0.000300225	0.000708606
BACasv669	0.000379876	0.000300631	0.00015444	0	0	0	0.000450338	0
BACasv672	0	0.000434245	0	0	0	0	0.0008006	0.000551138
BACasv726	0	0	0.000366795	0.000834967	0	0	0.000450338	0
BACasv797	0	0	0	0	0	0	0.000500375	0
BACasv871	0	0	0	0	0	0	0.0004003	0
BACasv927	0.000142454	0	0	0	0	0	0.000250188	0
BACasv936	0	0	0	0	0	0	0.000300225	0
BACasv937	0	0	0	0	0	0	0.000300225	0
BACasv1019	0	0	0	0	0	0	0.000150113	0
