,nodes_num,degree,clustering_coefficient,average_path_length,connectance,modularity,betweenness_centralization
Restore6_1,34,2.35294117647059,1,1,0.071301247771836,0.69,0
Restore6_2,34,2,1,1,0.0606060606060606,0.757785467128028,0
Restore6_3,36,10,1,1,0.285714285714286,0.097037037037037,0
Restore6_4,29,2.68965517241379,1,1,0.0960591133004926,0.473372781065089,0
Restore9_1,31,2.7741935483871,1,1,0.0924731182795699,0.558139534883721,0
Restore9_2,26,2.76923076923077,1,1,0.110769230769231,0.384259259259259,0
Restore9_3,29,2.55172413793103,1,1,0.0911330049261084,0.420745069393718,0
Restore9_4,35,2.11428571428571,1,1,0.0621848739495798,0.657414170927684,0
