	ProASV10	ProASV32	ProASV43	ProASV51	ProASV61	ProASV63	ProASV65	ProASV67	ProASV92	ProASV95	ProASV104	ProASV116	ProASV121	ProASV127	ProASV129	ProASV133	ProASV140	ProASV148	ProASV162	ProASV171	ProASV182	ProASV190	ProASV196	ProASV202	ProASV203	ProASV211	ProASV217	ProASV227	ProASV241	ProASV246	ProASV247	ProASV248	ProASV253
ProASV10	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	1	0	0	0	0.755928946018454	0	0	0	0	0
ProASV32	0	0	0	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV43	0	0	0	0	0.989743318610787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV51	0	0	0	0	0	0	0.935414346693485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV61	0	0	0.989743318610787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV63	0	0	0	0	0	0	0	0	0	0	0	0	-0.721225366978695	0	0	0	0	0	-0.945471909652743	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV65	0	0	0	0.935414346693485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75541616205033	0.75541616205033	0	0.75541616205033	0	0	0.75541616205033	0	0	0	0.955993750310592	0	0	0	0	0	0	0.759490811341269	0.724267208806849
ProASV92	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	1	0	0	0	0.755928946018454	0	0	0	0	0
ProASV95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV104	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	1	0	0	0	0.755928946018454	0	0	0	0	0
ProASV116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932227235735804	0	0	0	0	0	0	0
ProASV121	0	-0.939411192283174	0	0	0	-0.721225366978695	0	0	0	0	0	0	0	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV127	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	1	0	0	0	0.755928946018454	0	0	0	0	0
ProASV129	0.755928946018454	0	0	0	0	0	0	0.75541616205033	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	1	0.755928946018454	1	0	0	1	0	0	0.755928946018454	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0
ProASV133	0.755928946018454	0	0	0	0	0	0	0.75541616205033	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	1	0	0.755928946018454	1	0	0	1	0	0	0.755928946018454	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0
ProASV140	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0.755928946018454	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	1	0	0	0	0.755928946018454	0	0	0	0	0
ProASV148	0.755928946018454	0	0	0	0	0	0	0.75541616205033	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	1	1	0.755928946018454	0	0	0	1	0	0	0.755928946018454	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0
ProASV162	0	0	0	0	0	-0.945471909652743	0	0	0	0	0	0	0.719512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV171	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV182	0.755928946018454	0	0	0	0	0	0	0.75541616205033	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	1	1	0.755928946018454	1	0	0	0	0	0	0.755928946018454	0	0	0	0	0	0	0.750679963874929	0.736988602787921	0
ProASV190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0.711777005827033	0.734939759036145	0.994029797388005
ProASV196	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	0	0.755928946018454	0	0	0	1	0	0	0	0	0
ProASV202	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0.755928946018454	0.755928946018454	1	0.755928946018454	0	0	0.755928946018454	0	0.755928946018454	0	0	0	0	0.755928946018454	0	0	0	0	0
ProASV203	0	0	0	0	0	0	0	0.955993750310592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV211	0	0	0	0	0	0	0	0	0	0	0	-0.932227235735804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0	0	0	0	0.75	0.724049023168879	0.975900072948533
ProASV227	0.755928946018454	0	0	0	0	0	0	0	0.755928946018454	0	0.755928946018454	0	0	0.755928946018454	0	0	0.755928946018454	0	0	0	0	0	1	0.755928946018454	0	0	0	0	0	0	0	0	0
ProASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0
ProASV246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946124746911475	0	0	0	0
ProASV247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.750679963874929	0.750679963874929	0	0.750679963874929	0	0	0.750679963874929	0.711777005827033	0	0	0	0	0.75	0	0	0	0	0.93267331798025	0.707527552887687
ProASV248	0	0	0	0	0	0	0	0.759490811341269	0	0	0	0	0	0	0.736988602787921	0.736988602787921	0	0.736988602787921	0	0	0.736988602787921	0.734939759036145	0	0	0	0	0.724049023168879	0	0	0	0.93267331798025	0	0.742528282386221
ProASV253	0	0	0	0	0	0	0	0.724267208806849	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994029797388005	0	0	0	0	0.975900072948533	0	0	0	0.707527552887687	0.742528282386221	0
