"","Eigenvalues","Relative_eig","Rel_corr_eig","Broken_stick","Cum_corr_eig","Cumul_br_stick"
"1",0.204123703734982,0.882153137975003,0.579732512647286,0.232254451897309,0.579732512647286,0.232254451897309
"2",0.0220648936503606,0.0953569566718305,0.0847172517233537,0.160825880468738,0.66444976437064,0.393080332366047
"3",0.0074171961538447,0.0320545960237193,0.0448903749311655,0.125111594754452,0.709340139301805,0.518191927120499
"4",0.00423949310153416,0.0183216455243106,0.0362502464757113,0.101302070944928,0.745590385777516,0.619493998065427
"5",0.00286627699028673,0.0123870731082255,0.0325164918098528,0.0834449280877852,0.778106877587369,0.702938926153212
"6",0.00236734052105981,0.0102308395894072,0.0311598907951366,0.0691592138020709,0.809266768382506,0.772098139955283
"7",0.0012394668895339,0.00535655382501794,0.0280932187689956,0.057254451897309,0.837359987151501,0.829352591852592
"8",0.000723444954635125,0.00312648274162285,0.0266901626212175,0.047050370264656,0.864050149772719,0.876402962117248
"9",0.00062671000191108,0.00270842721678203,0.0264271416894598,0.0381217988360846,0.890477291462179,0.914524760953332
"10",0.000205966014198608,0.000890114976442922,0.0252831448965397,0.0301852908995766,0.915760436358718,0.944710051852909
"11",0,0,0.0244449581916858,0.0230424337567195,0.940205394550404,0.967752485609628
"12",-0.000102305843581353,-0.000442131018089122,0.0229163084772365,0.016548927263213,0.963121703027641,0.984301412872841
"13",-0.000664519112581136,-0.002871825318087,0.0220568692947532,0.010596546310832,0.985178572322394,0.994897959183674
"14",-0.000980607296632201,-0.00423785081309511,0.0148214276776066,0.00510204081632653,1,1
"15",-0.00364168867177162,-0.015738138347236,0,0,1,1
"16",-0.00909277614269911,-0.0392958821558537,0,0,1,1
