"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","biota","treat"
"1",0.05,0.722930693069307,0.00807274979211845,0.000807274979211845,"weighted","soil micro-food web","arable"
"2",0.1,0.684475247524753,0.0104298024462597,0.00104298024462597,"weighted","soil micro-food web","arable"
"3",0.15,0.646990099009901,0.0128573705220869,0.00128573705220869,"weighted","soil micro-food web","arable"
"4",0.2,0.606059405940594,0.0136608296156191,0.00136608296156191,"weighted","soil micro-food web","arable"
"5",0.25,0.56980198019802,0.0140737099544393,0.00140737099544393,"weighted","soil micro-food web","arable"
"6",0.3,0.526356435643564,0.0230339651689553,0.00230339651689553,"weighted","soil micro-food web","arable"
"7",0.35,0.489069306930693,0.017677808514002,0.0017677808514002,"weighted","soil micro-food web","arable"
"8",0.4,0.449980198019802,0.02055594340176,0.002055594340176,"weighted","soil micro-food web","arable"
"9",0.45,0.412673267326733,0.0201745135785108,0.00201745135785108,"weighted","soil micro-food web","arable"
"10",0.5,0.371405940594059,0.0228797647604223,0.00228797647604223,"weighted","soil micro-food web","arable"
"11",0.55,0.32750495049505,0.0256815650995371,0.00256815650995371,"weighted","soil micro-food web","arable"
"12",0.6,0.291029702970297,0.0256129348948253,0.00256129348948253,"weighted","soil micro-food web","arable"
"13",0.65,0.250316831683168,0.0251614891804231,0.00251614891804231,"weighted","soil micro-food web","arable"
"14",0.7,0.215267326732673,0.0201731294290361,0.00201731294290361,"weighted","soil micro-food web","arable"
"15",0.75,0.175287128712871,0.0183430560751626,0.00183430560751626,"weighted","soil micro-food web","arable"
"16",0.8,0.140079207920792,0.0183347193331391,0.00183347193331391,"weighted","soil micro-food web","arable"
"17",0.85,0.104217821782178,0.0138303626081598,0.00138303626081598,"weighted","soil micro-food web","arable"
"18",0.9,0.0653663366336634,0.0108258691437015,0.00108258691437015,"weighted","soil micro-food web","arable"
"19",0.95,0.0308514851485149,0.00651112390628202,0.000651112390628202,"weighted","soil micro-food web","arable"
"20",1,0,0,0,"weighted","soil micro-food web","arable"
"21",0.05,0.742019801980198,0.00597768200719217,0.000597768200719217,"unweighted","soil micro-food web","arable"
"22",0.1,0.702,0.00712301558069468,0.000712301558069468,"unweighted","soil micro-food web","arable"
"23",0.15,0.662534653465347,0.00821621303011611,0.000821621303011611,"unweighted","soil micro-food web","arable"
"24",0.2,0.624613861386139,0.00741592844146773,0.000741592844146773,"unweighted","soil micro-food web","arable"
"25",0.25,0.587623762376238,0.00905201010593796,0.000905201010593796,"unweighted","soil micro-food web","arable"
"26",0.3,0.546316831683168,0.00966780100853366,0.000966780100853366,"unweighted","soil micro-food web","arable"
"27",0.35,0.510158415841584,0.0107824638716211,0.00107824638716211,"unweighted","soil micro-food web","arable"
"28",0.4,0.469960396039604,0.0102297841937377,0.00102297841937377,"unweighted","soil micro-food web","arable"
"29",0.45,0.430930693069307,0.00962215632031572,0.000962215632031572,"unweighted","soil micro-food web","arable"
"30",0.5,0.392910891089109,0.010482682491976,0.0010482682491976,"unweighted","soil micro-food web","arable"
"31",0.55,0.350712871287129,0.0107833454430888,0.00107833454430888,"unweighted","soil micro-food web","arable"
"32",0.6,0.311227722772277,0.0094697777398058,0.00094697777398058,"unweighted","soil micro-food web","arable"
"33",0.65,0.273069306930693,0.00906130347262756,0.000906130347262756,"unweighted","soil micro-food web","arable"
"34",0.7,0.234772277227723,0.00922513760231925,0.000922513760231926,"unweighted","soil micro-food web","arable"
"35",0.75,0.19370297029703,0.00863093238612381,0.000863093238612381,"unweighted","soil micro-food web","arable"
"36",0.8,0.154554455445545,0.00884396643855662,0.000884396643855662,"unweighted","soil micro-food web","arable"
"37",0.85,0.113920792079208,0.00660938517243713,0.000660938517243713,"unweighted","soil micro-food web","arable"
"38",0.9,0.0724950495049505,0.00674251999333753,0.000674251999333753,"unweighted","soil micro-food web","arable"
"39",0.95,0.0352871287128713,0.00470439390815601,0.000470439390815601,"unweighted","soil micro-food web","arable"
"40",1,0,0,0,"unweighted","soil micro-food web","arable"
