"","x"
"1",-0.00435950576375535
"2",-0.00369798130746423
"3",-0.0038633624215369
"4",-0.00353260019339111
"5",-0.00435950576375535
"6",-0.00419412464968223
"7",-0.00353260019339111
"8",-0.00435950576375535
"9",-0.0038633624215369
"10",-0.00419412464968223
"11",-0.00435950576375535
"12",-0.00419412464968223
"13",-0.00419412464968223
"14",-0.00353260019339111
"15",-0.00419412464968223
"16",-0.00353260019339111
"17",-0.00419412464968223
"18",-0.00402874353561001
"19",-0.00353260019339111
"20",-0.00435950576375535
"21",-0.00419412464968223
"22",-0.00435950576375535
"23",-0.00369798130746423
"24",-0.00435950576375535
"25",-0.00353260019339111
"26",-0.00435950576375535
"27",-0.00419412464968223
"28",-0.00353260019339111
"29",-0.00402874353561001
"30",-0.00353260019339111
"31",-0.0038633624215369
"32",-0.00121726459637329
"33",-0.00419412464968223
"34",-0.00402874353561001
"35",-0.00419412464968223
"36",-0.00419412464968223
"37",-0.00402874353561001
"38",-0.00121726459637329
"39",0.0106901756168643
"40",0.00175959545693577
"41",-0.00353260019339111
"42",0.00175959545693577
"43",-0.00419412464968223
"44",-0.0038633624215369
"45",-0.0038633624215369
"46",-0.00419412464968223
"47",-0.00402874353561001
"48",-0.00353260019339111
"49",-0.0038633624215369
"50",-0.0038633624215369
"51",-0.00369798130746423
"52",-0.00435950576375535
"53",-0.00419412464968223
"54",-0.00353260019339111
"55",-0.00353260019339111
"56",-0.00435950576375535
"57",-0.0038633624215369
"58",-0.00369798130746423
"59",-0.00435950576375535
"60",-0.00369798130746423
"61",-0.00369798130746423
"62",-0.00121726459637329
"63",0.0106901756168643
"64",-0.00336721907931889
"65",-0.0038633624215369
"66",-0.0030364568511731
"67",0.0106901756168643
"68",-0.00353260019339111
"69",-0.00369798130746423
"70",-0.00369798130746423
"71",-0.0038633624215369
"72",-0.00336721907931889
"73",-0.00419412464968223
"74",-0.00353260019339111
"75",0.0106901756168643
"76",-0.00353260019339111
"77",-0.00435950576375535
"78",-0.0030364568511731
"79",-0.0038633624215369
"80",-0.00435950576375535
"81",-0.00419412464968223
"82",-0.00435950576375535
"83",-0.00138264571044551
"84",-0.00419412464968223
"85",0.00175959545693577
"86",0.00175959545693577
"87",-0.00353260019339111
"88",0.00175959545693577
"89",-0.00138264571044551
"90",-0.00419412464968223
"91",-0.00419412464968223
"92",-0.0038633624215369
"93",-0.0038633624215369
"94",-0.00353260019339111
"95",-0.00204417016673652
"96",-0.00435950576375535
"97",-0.00204417016673652
"98",-0.0038633624215369
"99",-0.00353260019339111
"100",-0.00204417016673652
"101",-0.00353260019339111
"102",-0.00435950576375535
"103",-0.00353260019339111
"104",-0.00204417016673652
"105",0.00175959545693577
"106",-0.00402874353561001
"107",-0.00336721907931889
"108",-0.00435950576375535
"109",-0.00336721907931889
"110",0.0106901756168643
"111",-0.00353260019339111
"112",-0.00121726459637329
"113",-0.00353260019339111
"114",-0.00435950576375535
"115",0.00175959545693577
"116",-0.00353260019339111
"117",-0.00419412464968223
"118",-0.00435950576375535
"119",-0.00435950576375535
"120",-0.00369798130746423
"121",-0.00353260019339111
"122",-0.00435950576375535
"123",0.00175959545693577
"124",-0.00369798130746423
"125",-0.00419412464968223
"126",-0.00353260019339111
"127",0.00175959545693577
"128",-0.0038633624215369
"129",-0.00435950576375535
"130",-0.00336721907931889
"131",-0.0030364568511731
"132",-0.00435950576375535
"133",0.00175959545693577
"134",0.0106901756168643
"135",-0.0030364568511731
"136",-0.00419412464968223
"137",-0.00419412464968223
"138",0.00175959545693577
"139",-0.0038633624215369
"140",-0.0038633624215369
"141",0.0106901756168643
"142",0.0106901756168643
"143",0.0106901756168643
"144",-0.00121726459637329
"145",-0.0030364568511731
"146",0.00175959545693577
"147",-0.00121726459637329
"148",-0.00336721907931889
"149",-0.00353260019339111
"150",-0.00369798130746423
"151",0.00175959545693577
"152",-0.00121726459637329
"153",0.0106901756168643
"154",-0.00138264571044551
"155",0.0106901756168643
"156",-0.00435950576375535
"157",0.0106901756168643
"158",0.0106901756168643
"159",0.00175959545693577
"160",-0.00435950576375535
"161",0.00175959545693577
"162",0.0106901756168643
"163",-0.00121726459637329
"164",-0.00419412464968223
"165",-0.00369798130746423
"166",0.0106901756168643
"167",-0.00121726459637329
"168",-0.00353260019339111
"169",-0.00369798130746423
"170",0.00175959545693577
"171",-0.0038633624215369
"172",-0.0038633624215369
"173",-0.00369798130746423
"174",0.0106901756168643
"175",-0.00121726459637329
"176",0.0106901756168643
"177",-0.00121726459637329
"178",0.0106901756168643
"179",0.00175959545693577
"180",0.0106901756168643
"181",-0.00336721907931889
"182",0.0106901756168643
"183",-0.00419412464968223
"184",0.0106901756168643
"185",0.00175959545693577
"186",-0.00138264571044551
"187",0.0106901756168643
"188",0.0106901756168643
"189",0.0106901756168643
"190",0.0106901756168643
"191",0.00175959545693577
"192",0.00175959545693577
"193",0.0106901756168643
"194",0.0106901756168643
"195",0.0106901756168643
"196",-0.00138264571044551
"197",-0.00369798130746423
"198",-0.00369798130746423
"199",0.0106901756168643
"200",0.00175959545693577
"201",0.00175959545693577
"202",0.0106901756168643
"203",-0.00320183796524577
"204",0.0106901756168643
"205",-0.0030364568511731
"206",0.0106901756168643
"207",-0.00369798130746423
"208",-0.00320183796524577
"209",0.0106901756168643
"210",0.0106901756168643
"211",0.0106901756168643
"212",0.0106901756168643
"213",-0.0038633624215369
"214",0.0106901756168643
"215",0.0106901756168643
"216",0.0106901756168643
"217",0.0106901756168643
"218",-0.00138264571044551
"219",0.00175959545693577
"220",0.00175959545693577
