nodes_id	degree	modularity
FUNasv1	96	2
FUNasv5	117	2
FUNasv6	62	2
FUNasv7	24	2
FUNasv8	99	2
FUNasv9	126	2
FUNasv10	139	2
FUNasv12	115	2
FUNasv14	84	1
FUNasv16	91	2
FUNasv20	126	1
FUNasv22	105	2
FUNasv23	4	2
FUNasv25	108	2
FUNasv26	151	1
FUNasv27	108	2
FUNasv28	103	2
FUNasv30	92	2
FUNasv33	134	1
FUNasv34	112	2
FUNasv35	143	2
FUNasv38	123	1
FUNasv39	94	1
FUNasv40	93	1
FUNasv43	115	2
FUNasv47	45	2
FUNasv48	77	1
FUNasv49	125	2
FUNasv51	137	1
FUNasv52	2	1
FUNasv53	54	2
FUNasv58	99	2
FUNasv62	121	2
FUNasv63	132	2
FUNasv64	141	1
FUNasv65	144	1
FUNasv66	111	2
FUNasv68	3	2
FUNasv69	123	2
FUNasv71	135	1
FUNasv72	15	2
FUNasv73	136	2
FUNasv74	59	2
FUNasv77	5	2
FUNasv79	5	2
FUNasv80	45	2
FUNasv81	107	2
FUNasv82	31	1
FUNasv83	152	1
FUNasv84	163	1
FUNasv85	125	2
FUNasv87	136	2
FUNasv88	128	2
FUNasv93	143	2
FUNasv94	64	1
FUNasv95	125	1
FUNasv98	103	2
FUNasv99	128	1
FUNasv100	26	1
FUNasv103	132	1
FUNasv104	121	1
FUNasv105	64	1
FUNasv106	147	2
FUNasv107	146	1
FUNasv110	140	1
FUNasv111	109	2
FUNasv112	128	2
FUNasv114	54	2
FUNasv115	42	2
FUNasv117	147	2
FUNasv118	109	2
FUNasv120	147	2
FUNasv122	86	1
FUNasv123	147	2
FUNasv124	112	2
FUNasv125	147	2
FUNasv126	58	1
FUNasv127	112	2
FUNasv128	5	2
FUNasv129	122	2
FUNasv130	149	2
FUNasv133	131	2
FUNasv134	63	2
FUNasv135	103	2
FUNasv136	155	1
FUNasv137	151	1
FUNasv138	107	2
FUNasv140	84	1
FUNasv142	107	2
FUNasv144	104	2
FUNasv145	131	2
FUNasv146	103	2
FUNasv150	149	1
FUNasv152	143	1
FUNasv154	130	2
FUNasv155	137	1
FUNasv157	143	2
FUNasv160	135	1
FUNasv161	109	1
FUNasv164	130	1
FUNasv167	107	1
FUNasv168	141	1
FUNasv169	112	2
FUNasv173	34	2
FUNasv176	8	2
FUNasv184	92	1
FUNasv185	131	2
FUNasv187	141	2
FUNasv188	127	2
FUNasv191	103	2
FUNasv193	131	2
FUNasv196	34	1
FUNasv199	136	2
FUNasv200	52	2
FUNasv202	102	2
FUNasv203	101	2
FUNasv206	58	2
FUNasv208	79	2
FUNasv209	2	1
FUNasv210	112	2
FUNasv212	92	1
FUNasv215	128	2
FUNasv219	34	2
FUNasv220	6	2
FUNasv221	158	1
FUNasv222	121	2
FUNasv226	130	2
FUNasv227	136	1
FUNasv229	117	2
FUNasv231	44	2
FUNasv232	120	2
FUNasv234	121	2
FUNasv237	66	1
FUNasv238	147	2
FUNasv240	121	2
FUNasv241	46	2
FUNasv243	20	2
FUNasv248	143	2
FUNasv249	163	1
FUNasv250	87	1
FUNasv257	34	2
FUNasv260	163	1
FUNasv271	131	2
FUNasv274	34	1
FUNasv277	37	2
FUNasv285	90	1
FUNasv288	34	2
FUNasv290	47	2
FUNasv292	62	2
FUNasv295	121	2
FUNasv297	56	1
FUNasv300	106	1
FUNasv307	125	1
FUNasv308	22	1
FUNasv311	62	1
FUNasv316	135	2
FUNasv319	136	2
FUNasv325	20	1
FUNasv326	109	1
FUNasv328	137	2
FUNasv332	22	1
FUNasv334	66	1
FUNasv335	92	1
FUNasv338	136	2
FUNasv339	105	1
FUNasv344	13	2
FUNasv346	105	1
FUNasv348	136	2
FUNasv349	90	1
FUNasv358	135	1
FUNasv359	130	2
FUNasv360	90	1
FUNasv368	101	1
FUNasv372	45	2
FUNasv376	130	2
FUNasv377	121	1
FUNasv383	66	1
FUNasv389	105	1
FUNasv390	66	1
FUNasv397	20	1
FUNasv399	131	2
FUNasv407	92	1
FUNasv412	112	2
FUNasv414	66	1
FUNasv417	131	2
FUNasv419	100	1
FUNasv426	62	1
FUNasv428	109	1
FUNasv429	109	1
FUNasv439	62	1
FUNasv440	105	1
FUNasv447	66	1
FUNasv448	117	2
FUNasv449	66	1
FUNasv450	58	1
FUNasv455	66	1
FUNasv457	66	1
FUNasv460	44	2
FUNasv464	109	1
FUNasv470	127	2
FUNasv471	25	2
FUNasv478	90	1
FUNasv486	66	1
FUNasv492	28	1
FUNasv496	34	2
FUNasv499	108	2
FUNasv500	100	1
FUNasv502	66	1
FUNasv507	143	2
FUNasv509	20	1
FUNasv517	66	1
FUNasv522	66	1
FUNasv530	100	1
FUNasv531	20	1
FUNasv532	66	1
FUNasv545	128	2
FUNasv570	62	1
FUNasv589	28	1
FUNasv590	20	1
FUNasv650	66	1
