ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
FUNasv138	0.001641641	0.00384408	0.001382787	0.001664591	0.000173201	0	8.84E-05	0
FUNasv142	0.000481548	0.000218022	0.002631379	0.002502398	9.17E-05	8.15E-05	0.000127706	9.53E-05
FUNasv150	0.001488421	0.001761392	0.001464471	0.000121262	5.09E-05	0	0	0
FUNasv155	0.000273607	0.000120486	0.00025672	0.000374808	0.00100864	0.003795552	0.00110024	0.00146157
FUNasv160	0.00082082	0.001067162	0.000653469	0.000264571	0.000173201	0	0.000147354	0.000174753
FUNasv162	0	0	0	0	0.000173201	0.005728257	0.000176824	0.000540146
FUNasv164	0.005494024	0.004326024	0.001050218	0.000716546	0.000438096	3.49E-05	0.000108059	0.000111206
FUNasv168	0.001608808	0.000843403	0.000420087	0.000683474	0.000315837	0.000221213	0.000225942	0.00019064
FUNasv169	0.000580046	0.000757341	0.000268389	0.000363785	0.001110522	0.008534172	0.002141538	0.002875481
FUNasv176	0.000295495	0.000143436	0.000390914	0.000330713	0.000285272	0.000174642	0.000265236	0.000174753
FUNasv196	0.000339272	0.000344246	0	0	5.09E-05	0	0	0
FUNasv203	0.000196997	0.000315559	0	0.000242523	0.00195615	0.000384212	0.002131714	0.000349506
FUNasv204	0	0.000613905	0	0	0.000723368	0.000395855	0.001090416	0.000428939
FUNasv206	0.000207941	6.88E-05	2.92E-05	0	9.17E-05	0.005425544	0.000648356	0.000492486
FUNasv209	0.000503437	0.000476207	0.000274224	0.000374808	0.000183389	0.000826639	0.00027506	0.00014298
FUNasv210	0.000503437	0.000751604	0.000280058	0.000540165	9.17E-05	3.49E-05	4.91E-05	0
FUNasv214	0	0	7.00E-05	9.92E-05	0.000509414	0.000966352	0.000304531	0.000730785
FUNasv215	0.000186053	0.001141749	0.001015211	0.000848831	9.17E-05	0.000116428	8.84E-05	0
FUNasv220	0.000481548	0.000642592	0.000280058	0	0.000570544	0.000314356	0.000314354	0.000524259
FUNasv222	0.000372105	0.000493419	0.000501771	0.000429927	3.06E-05	4.66E-05	0	0
FUNasv227	0.000711378	0.000803241	0.000525109	0.000352761	7.13E-05	6.99E-05	8.84E-05	0.000333619
FUNasv229	0.000120387	8.61E-05	7.00E-05	0.000110238	0.000743744	0.000256142	0.000314354	0.000270073
FUNasv234	0.000798932	0.000791766	0.001371118	0.001135449	0.000264895	0.000174642	0.000422413	4.77E-05
FUNasv240	3.28E-05	0	0	0	0.000224142	0.00166492	0.000726944	0.000857878
