"","x"
"1",-0.00839867196878764
"2",-0.00839867196878764
"3",-0.00839867196878764
"4",-0.00839867196878764
"5",-0.00521927521008406
"6",-0.00839867196878764
"7",-0.00839867196878764
"8",-0.00733887304921959
"9",0.00272921668667462
"10",-0.00839867196878764
"11",-0.00839867196878764
"12",0.00378901560624266
"13",-0.00839867196878764
"14",-0.00733887304921959
"15",-0.00839867196878764
"16",-0.00574917466986808
"17",-0.00839867196878764
"18",-0.00733887304921959
"19",-0.00574917466986808
"20",-0.00309967737094852
"21",-0.0041594762905162
"22",-0.00309967737094852
"23",0.00272921668667462
"24",-0.00521927521008406
"25",-0.0041594762905162
"26",-0.00839867196878764
"27",-0.00309967737094852
"28",-0.0041594762905162
"29",-0.00627907412965192
"30",0.00272921668667462
"31",-0.00839867196878764
"32",0.00378901560624266
"33",-0.00839867196878764
"34",0.0154468037214886
"35",0.0154468037214886
"36",-0.00309967737094852
"37",-0.00786877250900362
"38",-0.00521927521008406
"39",-0.00574917466986808
"40",-0.00839867196878764
"41",0.00378901560624266
"42",-0.00309967737094852
"43",0.00272921668667462
"44",0.00272921668667462
"45",-0.00309967737094852
"46",-0.00680897358943576
"47",0.00272921668667462
"48",-0.00786877250900362
"49",-0.00839867196878764
"50",-0.00680897358943576
"51",-0.0041594762905162
"52",-0.0041594762905162
"53",-0.00839867196878764
"54",0.0154468037214886
"55",-0.00839867196878764
"56",-0.00839867196878764
"57",-0.00574917466986808
"58",0.00272921668667462
"59",-0.00574917466986808
"60",-0.00309967737094852
"61",-0.00839867196878764
"62",-0.00309967737094852
"63",-0.00680897358943576
"64",-0.00309967737094852
"65",0.00272921668667462
"66",-0.00574917466986808
"67",-0.00574917466986808
"68",0.00272921668667462
"69",0.00272921668667462
"70",-0.00521927521008406
"71",0.0154468037214886
"72",-0.00786877250900362
"73",-0.00309967737094852
"74",-0.00680897358943576
"75",0.0154468037214886
"76",-0.00574917466986808
"77",0.00272921668667462
"78",-0.00521927521008406
"79",0.00272921668667462
"80",0.00378901560624266
"81",0.00272921668667462
"82",-0.00309967737094852
"83",-0.00574917466986808
"84",0.0154468037214886
"85",-0.00839867196878764
"86",0.0154468037214886
"87",-0.00839867196878764
"88",0.0154468037214886
"89",0.00272921668667462
"90",0.0154468037214886
"91",0.00272921668667462
"92",-0.00627907412965192
"93",-0.00786877250900362
"94",0.0154468037214886
"95",-0.00839867196878764
"96",-0.00680897358943576
"97",0.00272921668667462
"98",-0.00627907412965192
"99",0.0154468037214886
"100",-0.00627907412965192
"101",0.00272921668667462
"102",0.0154468037214886
"103",0.0154468037214886
"104",0.0154468037214886
"105",0.0154468037214886
"106",0.0154468037214886
"107",0.0154468037214886
"108",0.0154468037214886
"109",0.0154468037214886
"110",-0.00839867196878764
"111",0.0154468037214886
"112",0.0154468037214886
"113",0.0154468037214886
"114",-0.00839867196878764
"115",-0.00839867196878764
"116",-0.00839867196878764
"117",-0.00839867196878764
"118",-0.00839867196878764
"119",-0.00839867196878764
"120",0.00378901560624266
"121",-0.0041594762905162
"122",-0.0041594762905162
"123",0.00378901560624266
"124",-0.00733887304921959
"125",-0.00839867196878764
"126",-0.00839867196878764
"127",-0.00574917466986808
"128",-0.00786877250900362
"129",0.00378901560624266
"130",0.00378901560624266
"131",0.00378901560624266
"132",-0.00786877250900362
"133",-0.00574917466986808
"134",-0.00786877250900362
"135",-0.00839867196878764
"136",0.00378901560624266
"137",-0.00733887304921959
"138",-0.0041594762905162
"139",-0.00786877250900362
"140",-0.0041594762905162
"141",-0.00786877250900362
"142",-0.00309967737094852
"143",-0.00733887304921959
"144",0.00378901560624266
"145",0.00272921668667462
"146",0.00378901560624266
"147",-0.00733887304921959
"148",0.00378901560624266
"149",-0.00839867196878764
"150",-0.00786877250900362
"151",0.00378901560624266
"152",-0.00521927521008406
"153",0.00378901560624266
"154",0.00378901560624266
"155",-0.00786877250900362
"156",-0.00786877250900362
"157",-0.00574917466986808
"158",-0.0041594762905162
"159",0.00378901560624266
"160",0.00378901560624266
"161",-0.00839867196878764
"162",-0.00786877250900362
"163",0.00378901560624266
"164",-0.00786877250900362
"165",0.00378901560624266
"166",0.00378901560624266
"167",-0.00574917466986808
"168",0.0154468037214886
"169",-0.0062790741296521
"170",-0.0062790741296521
