label	Class	Abundance
FUNasv216	Agaricomycetes	0.000239419
FUNasv217	Agaricomycetes	0.000298331
FUNasv219	Dothideomycetes	8.76E-05
FUNasv220	Sordariomycetes	0.000390964
FUNasv221	Rhizophydiomycetes	0.000305267
FUNasv222	Chytridiomycota	0.000234295
FUNasv223	Sordariomycetes	0.000583206
FUNasv226	Sordariomycetes	0.000228505
FUNasv227	Dothideomycetes	0.000369462
FUNasv229	Sordariomycetes	0.000246377
FUNasv231	Sordariomycetes	0.000242107
FUNasv232	Eurotiomycetes	0.000218942
FUNasv233	Glomeromycota	7.54E-05
FUNasv234	Mortierellomycetes	0.000625859
FUNasv235	Sordariomycetes	9.99E-05
FUNasv237	Tremellomycetes	0.000170979
FUNasv238	Sordariomycetes	0.0001739
FUNasv240	Tremellomycetes	0.00043834
FUNasv241	Dothideomycetes	0.000185975
FUNasv242	Sordariomycetes	0.000333631
FUNasv243	Pezizomycetes	0.000173677
FUNasv247	Sordariomycetes	0.000323843
FUNasv248	Sordariomycetes	0.00016166
FUNasv249	Laboulbeniomycetes	0.000122473
FUNasv250	Sordariomycetes	0.00019295
FUNasv251	Sordariomycetes	6.10E-05
FUNasv252	Leotiomycetes	8.58E-05
FUNasv256	Dothideomycetes	0.000102494
FUNasv257	Glomeromycetes	6.48E-05
FUNasv260	Sordariomycetes	0.000178736
FUNasv262	Dothideomycetes	0.000391008
FUNasv268	Sordariomycetes	8.84E-05
FUNasv270	Pezizomycetes	6.12E-05
FUNasv271	Tremellomycetes	0.000161036
FUNasv272	Dothideomycetes	6.39E-05
FUNasv274	Sordariomycetes	0.000262815
FUNasv275	Agaricomycetes	0.000423224
FUNasv277	Sordariomycetes	3.55E-05
FUNasv284	Sordariomycetes	0.000225474
FUNasv285	Sordariomycetes	0.000151964
FUNasv288	Dothideomycetes	6.29E-05
FUNasv290	Sordariomycetes	0.000123689
FUNasv292	Sordariomycetes	0.000193777
FUNasv293	Sordariomycetes	0.000195852
FUNasv294	Eurotiomycetes	0.000197397
FUNasv295	Dothideomycetes	0.000196215
FUNasv296	Agaricomycetes	0.0001333
FUNasv297	Sordariomycetes	0.000121104
FUNasv298	Dothideomycetes	4.91E-05
FUNasv300	Dothideomycetes	9.00E-05
FUNasv306	Sordariomycetes	0.000169193
FUNasv307	Dothideomycetes	0.000242244
FUNasv308	Sordariomycetes	1.79E-05
FUNasv310	Agaricomycetes	5.99E-05
FUNasv311	Leotiomycetes	2.61E-05
FUNasv312	Sordariomycetes	8.49E-05
FUNasv315	Agaricomycetes	0.000153424
FUNasv316	Sordariomycetes	5.36E-05
FUNasv317	Dothideomycetes	6.57E-05
FUNasv318	Sordariomycetes	0.000144875
FUNasv319	Dothideomycetes	6.25E-05
FUNasv320	Sordariomycetes	0.000153648
FUNasv321	Classiculomycetes	7.74E-05
FUNasv323	Tremellomycetes	0.00019363
FUNasv325	Eurotiomycetes	4.65E-05
