nodes_id	within_module_connectivities	among_module_connectivities	degree	modularity
BACasv1	1.14545214053724	0	56	3
BACasv101	1.20605084168738	0	57	3
BACasv1020	0.209778290454562	0.1728	75	1
BACasv1021	0.852334482645217	0.507154006243496	124	1
BACasv104	1.30954493008851	0.0311240622481245	127	2
BACasv107	0.802868921868619	0.408578571115302	151	2
BACasv108	1.20820972844453	0.046848	125	2
BACasv109	0.566420118032669	0.147799744897959	112	2
BACasv110	-1.70268681351936	0.498614958448753	19	3
BACasv116	0.781859933636397	0	50	3
BACasv118	-0.127120583615708	0.0540123456790124	36	3
BACasv119	0.566420118032669	0.149075255102041	112	2
BACasv125	0.802868921868619	0.225245653817082	126	2
BACasv131	0.296192913648726	0.0775431078461382	99	2
BACasv132	0.667755319676647	0.0363511659807956	108	2
BACasv133	1.07309612625256	0.191115702479339	132	2
BACasv137	-1.56161911649088	0.338331410995771	51	2
BACasv138	0.297070324435274	0	42	3
BACasv14	1.44844564628794	0	61	3
BACasv142	-1.22383511101095	0.194515306122449	56	2
BACasv143	-0.49071279051655	0	29	3
BACasv147	0.93798252406059	0.393911283521673	154	2
BACasv149	0.357669025585415	0.403906923297903	59	3
BACasv150	-1.03610110086781	0.355029585798817	26	3
BACasv155	1.26664954283752	0	58	3
BACasv157	-0.975502399717672	0.4872	50	3
BACasv159	1.14545214053724	0.0344721452754694	57	3
BACasv16	-0.187719284765848	0.149013878743608	37	3
BACasv162	-0.61191019281683	0.0688775510204082	28	3
BACasv164	0.539465129035836	0	46	3
BACasv165	0.600063830185976	0	47	3
BACasv166	0.802868921868619	0	110	2
BACasv167	1.02425473823696	0	54	3
BACasv168	-1.46029200891879	0.471655328798186	21	3
BACasv169	0.329971314196719	0.110726643598616	102	2
BACasv17	1.32724824398766	0	59	3
BACasv170	-1.88448291696978	0.43213296398892	19	3
BACasv171	0.93798252406059	0.110374974386995	121	2
BACasv172	0.478866427885695	0	45	3
BACasv177	0.721261232486257	0	49	3
BACasv179	0.963656037086818	0	53	3
BACasv185	0.357669025585415	0	43	3
BACasv191	1.6908404508885	0	65	3
BACasv196	1.0848534393871	0	55	3
BACasv197	0.963656037086818	0	53	3
BACasv199	-1.96695992306679	0.534434227810096	73	2
BACasv202	0.802868921868619	0.408578571115302	151	2
BACasv203	-0.55131149166669	0.499911111111111	75	3
BACasv204	-0.308916687066129	0	32	3
BACasv206	-1.52089071006893	0.402379664683613	43	3
BACasv208	1.6908404508885	0	65	3
BACasv209	0.498863316936683	0.0194156093810073	102	2
BACasv21	0.70153372022464	0.0183470507544582	108	2
BACasv210	0.904204123512597	0.477645521846422	166	2
BACasv211	1.26664954283752	0	58	3
BACasv216	0.532641717484676	0	102	2
BACasv217	0.478866427885695	0.0814848347668629	47	3
BACasv220	0.769090521320626	0.513392857142857	168	2
BACasv224	0.70153372022464	0	107	2
BACasv225	0.667755319676647	0.0363511659807956	108	2
BACasv226	-0.793706296267251	0.244897959183674	28	3
BACasv227	0.297070324435274	0	42	3
BACasv228	0.566420118032669	0.147799744897959	112	2
BACasv229	-0.311818296215145	0.593163265306123	140	2
BACasv233	0.297070324435274	0.419419706980753	59	3
BACasv234	-1.64649515365178	0	42	1
BACasv235	-1.49406231539489	0	42	2
BACasv239	1.56964304858822	0	63	3
BACasv241	-0.793706296267251	0.431020408163265	35	3
BACasv243	0.539465129035836	0	46	3
BACasv245	-0.127120583615708	0.184089414858646	39	3
BACasv246	0.93798252406059	0	114	2
BACasv248	0.566420118032669	0.05500177999288	106	2
BACasv249	-0.308916687066129	0.156734693877551	35	3
BACasv25	0.397528115292705	0.155472093632632	107	2
BACasv254	0.363749714744712	0.140770975056689	105	2
BACasv256	1.3878469451378	0	60	3
BACasv257	-1.82388421581964	0.462809917355372	11	3
BACasv258	0.600063830185976	0	47	3
BACasv259	0.175872922134994	0	40	3
BACasv26	-0.244261495119159	0.0246875	80	2
BACasv262	0.769090521320626	0.451429980276134	156	2
BACasv263	0.667755319676647	0.0185169010393921	107	2
BACasv264	0.600063830185976	0	47	3
BACasv266	0.209778290454562	0.1728	75	1
BACasv27	0.397528115292705	0.125532879818594	105	2
BACasv272	0.781859933636397	0.106799572801709	53	3
BACasv273	0.236471623285134	0.197542533081285	46	3
BACasv274	0.667755319676647	0.0185169010393921	107	2
BACasv275	0.70153372022464	0	107	2
BACasv277	0.297070324435274	0	42	3
