"","x"
"1",0.00985017059783405
"2",-0.00652722148049255
"3",0.00985017059783405
"4",-0.00652722148049255
"5",0.00985017059783405
"6",-0.00652722148049255
"7",-0.00652722148049255
"8",0.00985017059783405
"9",-0.00652722148049255
"10",-0.00652722148049255
"11",0.00985017059783405
"12",0.00985017059783405
"13",0.00985017059783405
"14",0.00985017059783405
"15",0.00985017059783405
"16",0.00985017059783405
"17",-0.0215398308856253
"18",-0.00652722148049255
"19",0.00985017059783405
"20",-0.00652722148049255
"21",-0.00652722148049255
"22",0.00985017059783405
"23",-0.00652722148049255
"24",-0.00652722148049255
"25",0.00985017059783405
"26",0.00985017059783405
"27",0.00985017059783405
"28",0.00985017059783405
"29",-0.00652722148049255
"30",0.00985017059783405
"31",0.00985017059783405
"32",0.00985017059783405
"33",0.00985017059783405
"34",0.00985017059783405
"35",-0.013351134846462
"36",0.00985017059783405
"37",0.00985017059783405
"38",0.00985017059783405
"39",-0.00652722148049255
"40",0.00985017059783405
"41",0.00985017059783405
"42",-0.013351134846462
"43",-0.00652722148049255
"44",-0.00652722148049255
"45",0.00985017059783405
"46",-0.00652722148049255
"47",0.00985017059783405
"48",-0.0215398308856253
"49",0.00985017059783405
"50",0.00985017059783405
"51",0.00985017059783405
"52",-0.0215398308856253
"53",0.00985017059783405
"54",0.00985017059783405
"55",-0.00652722148049255
"56",0.00985017059783405
"57",0.00985017059783405
"58",0.00985017059783405
"59",-0.013351134846462
"60",-0.0215398308856253
"61",-0.00652722148049255
"62",-0.013351134846462
"63",-0.00652722148049255
"64",0.00985017059783405
"65",-0.013351134846462
"66",0.00985017059783405
"67",0.00985017059783405
"68",-0.0215398308856253
"69",0.00985017059783405
"70",-0.00652722148049255
"71",-0.00652722148049255
"72",-0.00652722148049255
"73",-0.013351134846462
"74",0.00985017059783405
"75",0.00985017059783405
"76",-0.00652722148049255
"77",-0.013351134846462
"78",-0.013351134846462
"79",0.00985017059783405
"80",0.00985017059783405
"81",-0.00652722148049255
"82",-0.013351134846462
"83",-0.0215398308856253
"84",0.00985017059783405
"85",0.00985017059783405
"86",-0.013351134846462
"87",-0.013351134846462
"88",0.00985017059783405
"89",-0.013351134846462
"90",-0.013351134846462
"91",0.00985017059783405
"92",-0.013351134846462
