	FUNasv2	FUNasv5	FUNasv6	FUNasv7	FUNasv9	FUNasv10	FUNasv11	FUNasv12	FUNasv13	FUNasv14	FUNasv16	FUNasv18	FUNasv24	FUNasv27	FUNasv29	FUNasv30	FUNasv32	FUNasv33	FUNasv34	FUNasv35	FUNasv38	FUNasv40	FUNasv41	FUNasv43	FUNasv44	FUNasv45	FUNasv49	FUNasv51	FUNasv52	FUNasv53	FUNasv55	FUNasv58	FUNasv62	FUNasv63	FUNasv67	FUNasv68	FUNasv71	FUNasv75	FUNasv76	FUNasv78	FUNasv81	FUNasv85	FUNasv86	FUNasv87	FUNasv88	FUNasv89	FUNasv91	FUNasv92	FUNasv93	FUNasv98	FUNasv101	FUNasv102	FUNasv103	FUNasv106	FUNasv107	FUNasv112	FUNasv117	FUNasv118	FUNasv120	FUNasv122	FUNasv123	FUNasv124	FUNasv125	FUNasv127	FUNasv128	FUNasv129	FUNasv130	FUNasv132	FUNasv136	FUNasv138	FUNasv140	FUNasv141	FUNasv145	FUNasv146	FUNasv151	FUNasv154	FUNasv156	FUNasv167	FUNasv169	FUNasv175	FUNasv176	FUNasv180	FUNasv182	FUNasv184	FUNasv185	FUNasv187	FUNasv192	FUNasv197	FUNasv201	FUNasv207	FUNasv212	FUNasv220	FUNasv221	FUNasv224	FUNasv227	FUNasv230	FUNasv235	FUNasv237	FUNasv238	FUNasv241	FUNasv243	FUNasv250	FUNasv252	FUNasv254	FUNasv256	FUNasv257	FUNasv259	FUNasv269	FUNasv270	FUNasv272	FUNasv276	FUNasv289	FUNasv295	FUNasv300	FUNasv308	FUNasv319	FUNasv328	FUNasv330	FUNasv332	FUNasv346	FUNasv353	FUNasv355	FUNasv365	FUNasv378	FUNasv406	FUNasv422	FUNasv427	FUNasv432	FUNasv434	FUNasv461	FUNasv463	FUNasv467	FUNasv507	FUNasv529	FUNasv580	FUNasv584	FUNasv610	FUNasv616	FUNasv643
FUNasv2	0	0.904761904761905	0.714285714285714	0	0	0	-0.778457070243618	0.833333333333333	0.780720058358827	0.928571428571429	0	0	-0.857142857142857	0	0	0.785714285714286	0.904761904761905	0.927105069301107	0.976190476190476	0.874267171196679	0.833333333333333	0.738095238095238	0	0	-0.904761904761905	0.910195959054077	0.975900072948533	-0.714285714285714	-0.904761904761905	0	0.904761904761905	0	0.761904761904762	0.880952380952381	0	0.80952380952381	0.938590635448906	-0.833333333333333	0	0.938590635448906	0	0.714285714285714	0.761904761904762	0.714285714285714	0.778457070243618	-0.952380952380952	-0.785714285714286	0.742528282386221	0.86248869203413	0	0	0.761904761904762	0	0.710284805204577	0.837121377562538	0.80511756018254	0.710284805204577	0.913223320977314	0.735652119676169	0	0.86248869203413	0.938590635448906	0.86248869203413	0.938590635448906	0.913223320977314	0.913223320977314	0.86248869203413	-0.880952380952381	0.913223320977314	0	0	0.80511756018254	0.710284805204577	0.874267171196679	0.786386748619354	0.761019434147762	0	0	0.853912563829967	0.853912563829967	0	0.913223320977314	-0.785714285714286	0.86248869203413	0.710284805204577	0.938590635448906	-0.778457070243618	0	0.837121377562538	-0.838338383339281	0.837121377562538	0	0	-0.785714285714286	0	0.95150257112482	0.710284805204577	0	0	0.791039852105472	0.791039852105472	0	0.837121377562538	0.738095238095238	0	0	0.761019434147762	0.790433332862751	0.86248869203413	0.780720058358827	0	0.811754063090946	0.80511756018254	0	0	0	0.786386748619354	0	0	0	0	0.710284805204577	0.736485379546474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv5	0.904761904761905	0	0	0	0	0	-0.922172221673209	0.738095238095238	0.780720058358827	0.976190476190476	0	0	-0.904761904761905	0	-0.714285714285714	0.738095238095238	1	0.927105069301107	0.928571428571429	0.946124746911475	0.738095238095238	0.785714285714286	0	0	-0.761904761904762	0.958101009530607	0.87831006565368	-0.80952380952381	-0.857142857142857	0	0.857142857142857	0	0.80952380952381	0.785714285714286	0	0.714285714285714	0.938590635448906	-0.785714285714286	0	0.938590635448906	0	0	0.714285714285714	0.761904761904762	0	-0.761904761904762	-0.738095238095238	0.742528282386221	0.86248869203413	0	0.738095238095238	0	0	0.710284805204577	0.837121377562538	0.80511756018254	0.710284805204577	0.913223320977314	0.735652119676169	0	0.86248869203413	0.938590635448906	0.86248869203413	0.938590635448906	0.913223320977314	0.913223320977314	0.86248869203413	-0.833333333333333	0.913223320977314	0	0	0.902707567477393	0.710284805204577	0.802409595481884	0.786386748619354	0.761019434147762	-0.738095238095238	0	0.853912563829967	0.95150257112482	0	0.913223320977314	-0.880952380952381	0.86248869203413	0.710284805204577	0.938590635448906	-0.826362120720149	0	0.837121377562538	0	0.837121377562538	0.738095238095238	0	-0.880952380952381	0.756322556535113	0.853912563829967	0.710284805204577	0	0	0.791039852105472	0.791039852105472	0	0.837121377562538	0	0	0	0.761019434147762	0.790433332862751	0.86248869203413	0.780720058358827	0	0.811754063090946	0.902707567477393	0	0	0	0.786386748619354	0	0	0	0	0.710284805204577	0.736485379546474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv6	0.714285714285714	0	0	0.761904761904762	0	0	0	0.714285714285714	0	0.738095238095238	0	0	-0.738095238095238	0	-0.761904761904762	0.714285714285714	0	0	0	0	0.80952380952381	0.928571428571429	0	0.761904761904762	-0.738095238095238	0.754504545005353	0.756322556535113	0	-0.761904761904762	0	0.833333333333333	0	0.738095238095238	0	0	0	0.710284805204577	0	0	0.710284805204577	0.738095238095238	0	0.80952380952381	0.952380952380952	0.790433332862751	0	-0.928571428571429	0	0.786386748619354	0.880952380952381	0	0.714285714285714	-0.785714285714286	0.938590635448906	0.761019434147762	0.756322556535113	0.938590635448906	0	0.913223320977314	0.87831006565368	0.786386748619354	0.710284805204577	0.837121377562538	0.710284805204577	0	0.735652119676169	0.786386748619354	0	0.761019434147762	0	0	0.80511756018254	0.887856006505722	0	0.761019434147762	0.811754063090946	-0.714285714285714	0.913223320977314	0	0	0	0	-0.738095238095238	0.837121377562538	0.938590635448906	0.710284805204577	0	0	0.761019434147762	-0.826362120720149	0.86248869203413	0.952380952380952	0	0	0.927105069301107	0.780720058358827	0.938590635448906	0.736485379546474	0	0	0	0	0.86248869203413	0	0	0	0.837121377562538	0	0.786386748619354	0	0	0.86248869203413	0.780720058358827	0.80511756018254	0.791039852105472	0.913223320977314	0.761019434147762	0	0	0.913223320977314	0	0.938590635448906	0	0	0	0	0	0.791039852105472	0	0.732588631506546	0.732588631506546	0.763762615825973	0.763762615825973	0	0	0	0	0.763762615825973	0.732588631506546
FUNasv7	0	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0.763762615825973	0	0.732588631506546	0	0	0	0	0.732588631506546	0.763762615825973
FUNasv9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7319250547114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	-0.732588631506546	0	-0.763762615825973	0	0	0	0	-0.763762615825973	-0.732588631506546
FUNasv10	0	0	0	0	0	0	0	0	0	0	-0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7319250547114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv11	-0.778457070243618	-0.922172221673209	0	0	0	0	0	-0.790433332862751	0	-0.898219696434944	0	0	0.898219696434944	0	0	-0.850314645958414	-0.922172221673209	-0.871313231271023	-0.802409595481884	-0.867469879518072	0	0	0	0	0.778457070243618	-0.91566265060241	-0.822225161903642	0.946124746911475	0.826362120720149	0	-0.730552019767088	0	-0.910195959054077	0	0.859041213929178	0	-0.931468031085285	0	0	-0.931468031085285	0	-0.790433332862751	0	-0.790433332862751	-0.819277108433735	0	0.754504545005353	-0.734939759036145	-0.829389342747172	-0.754504545005353	-0.898219696434944	0	0.730552019767088	-0.727310654409058	-0.803869670662643	-0.736321040510724	-0.727310654409058	-0.905948359000757	-0.727310654409058	-0.724049023168879	-0.829389342747172	-0.931468031085285	-0.8549090148317	-0.931468031085285	-0.905948359000757	-0.931468031085285	-0.829389342747172	0	-0.893188522958493	0	0	-0.93267331798025	0	0	-0.778349998578115	-0.740070490451322	0.742528282386221	0	-0.77313709253626	-0.944945335322096	0	-0.905948359000757	0.97007727214974	-0.8549090148317	-0.727310654409058	-0.931468031085285	0.831325301204819	0	-0.803869670662643	0	-0.8549090148317	-0.730552019767088	0	0.946124746911475	-0.77313709253626	-0.822225161903642	-0.727310654409058	0	0	-0.782070352426544	-0.782070352426544	0	-0.8549090148317	0	0	0.742528282386221	-0.803869670662643	-0.891566265060241	-0.829389342747172	-0.895857265954714	0	-0.791109834620379	-0.871313231271023	-0.736321040510724	0	0	-0.778349998578115	0	0	0	0	-0.727310654409058	-0.713467689932987	0	0.711777005827033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv12	0.833333333333333	0.738095238095238	0.714285714285714	0	0	0	-0.790433332862751	0	0	0.761904761904762	0	0	-0.761904761904762	0	0	0.857142857142857	0.738095238095238	0.853912563829967	0.80952380952381	0.802409595481884	0.714285714285714	0	0	0	-0.904761904761905	0.790433332862751	0.902707567477393	-0.785714285714286	-0.80952380952381	0	0.80952380952381	0	0.928571428571429	0.880952380952381	-0.780720058358827	0.738095238095238	0.913223320977314	0	0	0.913223320977314	0.761904761904762	0.952380952380952	0	0	0.898219696434944	-0.857142857142857	-0.714285714285714	0.862290908577547	0.913223320977314	0	0.880952380952381	0.928571428571429	-0.761904761904762	0.761019434147762	0.86248869203413	0.829515062006253	0.761019434147762	0.86248869203413	0.811754063090946	0.80511756018254	0.913223320977314	0.913223320977314	0.913223320977314	0.913223320977314	0.86248869203413	0.86248869203413	0.913223320977314	-0.761904761904762	0.938590635448906	0	0	0.7319250547114	0.761019434147762	0	0.761019434147762	0.786386748619354	0	0.710284805204577	0.853912563829967	0.756322556535113	0	0.86248869203413	-0.785714285714286	0.913223320977314	0.761019434147762	0.913223320977314	-0.766480807624486	0.791039852105472	0.86248869203413	-0.946124746911475	0.86248869203413	0.714285714285714	0	-0.785714285714286	0	0.853912563829967	0.761019434147762	0.763762615825973	0	0	0	0.791039852105472	0.86248869203413	0.761904761904762	0	-0.761904761904762	0.710284805204577	0.886243433815812	0.913223320977314	0.853912563829967	0	0.887856006505722	0.80511756018254	0.7319250547114	0	0.710284805204577	0.761019434147762	0	0	0.710284805204577	0	0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv13	0.780720058358827	0.780720058358827	0	0	0	0	0	0	0	0	0	0	0	-0.780720058358827	0	0	0.780720058358827	0.9	0.87831006565368	0.809953144561796	0	0	-0.756322556535113	0	0	0	0	0	0	0	0	0	0	0.756322556535113	0	0.780720058358827	0.779812867365055	-0.975900072948533	0	0.779812867365055	0	0	0	0	0	-0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	0.805806629610556	0	0	0	0.779812867365055	0	0.779812867365055	0.805806629610556	0.753819105119553	0	-0.780720058358827	0	0	0	0	0	0.957217352663941	0	0	0	0	0.775	0.725	0	0.805806629610556	0	0	0	0.779812867365055	-0.895857265954714	0	0	0	0	0	0	0	0	0	0	0	0	0.810574641843674	0.810574641843674	0	0	0.780720058358827	0	0	0	0.760865075194415	0	0	0.825	0	0	0	0	0	0	0.785409109878106	0	0	0	0	0.754672942406179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv14	0.928571428571429	0.976190476190476	0.738095238095238	0	0	0	-0.898219696434944	0.761904761904762	0	0	0	0	-0.952380952380952	0	0	0.785714285714286	0.976190476190476	0.87831006565368	0.904761904761905	0.886243433815812	0.761904761904762	0.80952380952381	0	0	-0.80952380952381	0.994029797388005	0.927105069301107	-0.785714285714286	-0.928571428571429	0	0.904761904761905	0	0.833333333333333	0.761904761904762	-0.707527552887687	0	0.938590635448906	-0.714285714285714	0	0.938590635448906	0	0.714285714285714	0	0.80952380952381	0.742528282386221	-0.80952380952381	-0.80952380952381	0	0.86248869203413	0.714285714285714	0.761904761904762	0	0	0.710284805204577	0.837121377562538	0.756322556535113	0.710284805204577	0.913223320977314	0.735652119676169	0	0.86248869203413	0.938590635448906	0.86248869203413	0.938590635448906	0.913223320977314	0.913223320977314	0.86248869203413	-0.80952380952381	0.913223320977314	0	0	0.902707567477393	0.710284805204577	0.754504545005353	0.786386748619354	0.761019434147762	0	0	0.80511756018254	0.95150257112482	0	0.913223320977314	-0.904761904761905	0.86248869203413	0.710284805204577	0.938590635448906	-0.730552019767088	0	0.837121377562538	-0.742528282386221	0.837121377562538	0.785714285714286	0	-0.904761904761905	0.756322556535113	0.902707567477393	0.710284805204577	0	0	0.791039852105472	0.791039852105472	0	0.837121377562538	0	0	0	0.761019434147762	0.754504545005353	0.86248869203413	0.780720058358827	0	0.811754063090946	0.902707567477393	0	0	0	0.786386748619354	0	0	0	0	0.710284805204577	0.736485379546474	0	-0.7319250547114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
