	ProASV23	ProASV30	ProASV41	ProASV45	ProASV46	ProASV48	ProASV95	ProASV97	ProASV237	ProASV245	ProASV248
ProASV23	0	1	0	0	1	0	0	0	1	1	0
ProASV30	1	0	0	0	1	0	0	0	1	1	0
ProASV41	0	0	0	0	0	0	0	0	0	0	1
ProASV45	0	0	0	0	0	1	0	0	0	0	0
ProASV46	1	1	0	0	0	0	0	0	1	1	0
ProASV48	0	0	0	1	0	0	0	0	0	0	0
ProASV95	0	0	0	0	0	0	0	1	0	0	0
ProASV97	0	0	0	0	0	0	1	0	0	0	0
ProASV237	1	1	0	0	1	0	0	0	0	1	0
ProASV245	1	1	0	0	1	0	0	0	1	0	0
ProASV248	0	0	1	0	0	0	0	0	0	0	0
